Ensembl_ID,Gene_symbol,Log_FoldChange,logCPM,PValue,FDR_adjusted_P.value,Power,BCOV
ENSG00000229058,AGER,-4.268,3.105,3.95E-51,3.86E-47,1,0.7
ENSG00000237405,AGER,-4.27,3.105,3.63E-51,3.86E-47,1,0.7
ENSG00000206320,AGER,-4.27,3.105,4.29E-51,3.86E-47,1,0.701
ENSG00000231268,AGER,-4.729,2.763,1.52E-49,8.52E-46,1,0.806
ENSG00000230514,AGER,-4.729,2.764,1.58E-49,8.52E-46,1,0.807
ENSG00000204305,AGER,-4.09,2.402,7.94E-48,3.57E-44,1,0.677
ENSG00000108576,SLC6A4,-4.988,4.896,9.92E-44,3.82E-40,1,0.932
ENSG00000234729,AGER,-4.233,2.942,1.98E-40,6.66E-37,1,0.787
ENSG00000165810,BTNL9,-3.671,5.375,1.04E-33,2.79E-30,1,0.738
ENSG00000213853,EMP2,-2.298,7.509,9.95E-34,2.79E-30,1,0.416
ENSG00000116016,EPAS1,-4.023,7.94,3.50E-29,8.57E-26,1,0.894
ENSG00000099994,SUSD2,-3.973,4.97,6.49E-27,1.39E-23,1,0.916
ENSG00000111275,ALDH2,-2.179,6.513,6.73E-27,1.39E-23,1,0.439
ENSG00000167972,ABCA3,-2.874,6.894,2.33E-26,4.48E-23,1,0.623
ENSG00000066405,CLDN18,-3.939,5.077,2.97E-26,5.34E-23,1,0.92
ENSG00000234876,NOTCH4,-3.936,3.757,1.36E-25,2.29E-22,1,0.929
ENSG00000105974,CAV1,-4.146,5.414,2.96E-25,4.70E-22,1,1.001
ENSG00000096088,PGC,-4.54,4.081,4.72E-25,7.07E-22,1,1.12
ENSG00000157765,SLC34A2,-3.705,6.872,5.39E-25,7.64E-22,1,0.878
ENSG00000131400,NAPSA,-3.457,5.078,1.77E-23,2.38E-20,1,0.831
ENSG00000100906,NFKBIA,-3.206,5.978,1.73E-22,2.22E-19,1,0.776
ENSG00000240583,AQP1,-3.448,5.668,2.06E-22,2.53E-19,1,0.851
ENSG00000144655,CSRNP1,-3.837,5.34,2.80E-22,3.28E-19,1,0.974
ENSG00000168309,FAM107A,-3.72,4.684,4.48E-22,5.03E-19,1,0.942
ENSG00000149564,ESAM,-3.162,4.296,5.69E-22,6.13E-19,1,0.769
ENSG00000170989,S1PR1,-3.603,3.977,7.81E-22,8.10E-19,1,0.907
ENSG00000168907,PLA2G4F,-4.011,5.361,1.70E-21,1.70E-18,1,1.049
