Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of T cell mediated cytotoxicity (GO:0001916)	3/26	3.244619117819256E-5	0.01161457569819532	0	0	57.76521739130435	597.0570987932614	IL23A;HLA-B;HLA-DRA
regulation of T cell mediated cytotoxicity (GO:0001914)	3/29	4.536943632107547E-5	0.01161457569819532	0	0	51.09230769230769	510.9574052524884	IL23A;HLA-B;HLA-DRA
positive regulation of T cell mediated immunity (GO:0002711)	3/36	8.761357421756333E-5	0.013317798046928455	0	0	40.24040404040404	375.9489772934714	IL23A;HLA-B;HLA-DRA
cytokine-mediated signaling pathway (GO:0019221)	8/621	1.0404529724162855E-4	0.013317798046928455	0	0	6.309624796084829	57.863576445871786	CXCL8;IFI27;IL23A;HLA-B;HLA-DRA;TRIM26;LMNB1;PSMB9
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	3/43	1.4965938450917012E-4	0.014692536529872364	0	0	33.18666666666667	292.2799054001524	IL23A;HLA-B;HLA-DRA
positive regulation of memory T cell differentiation (GO:0043382)	2/9	2.0087452286934873E-4	0.014692536529872364	0	0	123.88198757763975	1054.5863138348677	IL23A;HLA-DRA
organic cyclic compound catabolic process (GO:1901361)	2/9	2.0087452286934873E-4	0.014692536529872364	0	0	123.88198757763975	1054.5863138348677	HSD11B1;HSD17B14
regulation of memory T cell differentiation (GO:0043380)	2/10	2.507089602670998E-4	0.01604537345709439	0	0	108.3913043478261	898.695913322854	IL23A;HLA-DRA
steroid catabolic process (GO:0006706)	2/14	5.038936977770158E-4	0.02866595258464801	0	0	72.2463768115942	548.5772314174202	HSD11B1;HSD17B14
interferon-gamma-mediated signaling pathway (GO:0060333)	3/68	5.827273186775658E-4	0.02983563871629137	0	0	20.396923076923077	151.9120242400576	HLA-B;HLA-DRA;TRIM26
negative regulation of interleukin-10 production (GO:0032693)	2/17	7.496217439114789E-4	0.03489148480751611	0	0	57.78840579710145	415.84200599274584	IL23A;MMP8
positive regulation of alpha-beta T cell activation (GO:0046635)	2/20	0.00104246932126757	0.04447869104074965	0	0	48.14975845410628	330.6040915341501	IL23A;HLA-DRA
cellular response to unfolded protein (GO:0034620)	2/27	0.0019053209988171098	0.07079139324908357	0	0	34.65565217391304	217.05198082889783	DAXX;HSPA1L
steroid metabolic process (GO:0008202)	3/104	0.0019932711117866707	0.07079139324908357	0	0	13.102970297029703	81.47398385869185	HSD11B1;CYP2C8;HSD17B14
lipid catabolic process (GO:0016042)	2/29	0.002197150090738018	0.07079139324908357	0	0	32.085346215781	196.38138304502567	HSD11B1;HSD17B14
estrogen metabolic process (GO:0008210)	2/30	0.002350495478973478	0.07079139324908357	0	0	30.937888198757765	187.27103230547277	CYP2C8;HSD17B14
long-chain fatty acid biosynthetic process (GO:0042759)	2/30	0.002350495478973478	0.07079139324908357	0	0	30.937888198757765	187.27103230547277	CYP2C8;GSTM1
positive regulation of immune effector process (GO:0002699)	2/32	0.0026719299947776556	0.07200148196453472	0	0	28.872463768115942	171.0680261373824	IL23A;HLA-DRA
cellular response to topologically incorrect protein (GO:0035967)	2/32	0.0026719299947776556	0.07200148196453472	0	0	28.872463768115942	171.0680261373824	DAXX;HSPA1L
cellular response to interferon-gamma (GO:0071346)	3/121	0.0030636739447931637	0.078430052986705	0	0	11.205649717514124	64.85987437215245	HLA-B;HLA-DRA;TRIM26
regulation of tumor necrosis factor production (GO:0032680)	3/124	0.0032827285482387326	0.08003604841420148	0	0	10.926170798898072	62.487648475677844	ARG2;IL23A;MMP8
positive regulation of T cell differentiation (GO:0045582)	2/43	0.004783448141947699	0.11132388403078282	0	0	21.114528101802758	112.80634320901902	IL23A;HLA-DRA
positive regulation of biosynthetic process (GO:0009891)	2/44	0.005003597069793534	0.1113844217275778	0	0	20.610766045548655	109.18755733525694	CXCL8;MMP8
histone H4 acetylation (GO:0043967)	2/48	0.005929974323973438	0.11388156393176652	0	0	18.814744801512287	96.4770328823093	KANSL1;CHD5
regulation of interleukin-10 production (GO:0032653)	2/48	0.005929974323973438	0.11388156393176652	0	0	18.814744801512287	96.4770328823093	IL23A;MMP8
response to unfolded protein (GO:0006986)	2/49	0.006172902575506041	0.11388156393176652	0	0	18.413506012950972	93.68029757616745	DAXX;HSPA1L
regulation of interleukin-12 production (GO:0032655)	2/51	0.006672204853240559	0.11388156393176652	0	0	17.66015971606034	88.47395487409875	IL23A;HLA-B
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	2/53	0.0071892883971213396	0.11388156393176652	0	0	16.965899403239558	83.72948041053294	IL23A;MMP8
regulation of immune effector process (GO:0002697)	2/53	0.0071892883971213396	0.11388156393176652	0	0	16.965899403239558	83.72948041053294	HLA-DRA;C2
regulation of immune response (GO:0050776)	3/179	0.00907634647386554	0.11388156393176652	0	0	7.490909090909091	35.22288032147819	HLA-B;HLA-DRA;OSCAR
cellular response to type I interferon (GO:0071357)	2/65	0.010655499425535519	0.11388156393176652	0	0	13.726017943409248	62.33916939793813	IFI27;HLA-B
type I interferon signaling pathway (GO:0060337)	2/65	0.010655499425535519	0.11388156393176652	0	0	13.726017943409248	62.33916939793813	IFI27;HLA-B
embryonic organ development (GO:0048568)	2/66	0.010971801383952848	0.11388156393176652	0	0	13.51086956521739	60.9668100275446	CXCL8;PBX2
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	HGD
positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	HLA-DRA
positive regulation of cell fate commitment (GO:0010455)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	IL23A
response to sodium arsenite (GO:1903935)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	DAXX
homoserine metabolic process (GO:0009092)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	CBSL
positive regulation of natural killer cell proliferation (GO:0032819)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	IL23A
L-phenylalanine catabolic process (GO:0006559)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	HGD
cellular response to sodium arsenite (GO:1903936)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	DAXX
positive regulation of protein kinase C activity (GO:1900020)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	CEMIP
cerebral cortex neuron differentiation (GO:0021895)	1/5	0.011943612841183377	0.11388156393176652	0	0	106.1063829787234	469.7922320558719	CHD5
