Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MHC protein complex (GO:0042611)	2/20	0.00104246932126757	0.05190168458072438	0	0	48.14975845410628	330.6040915341501	HLA-B;HLA-DRA
lumenal side of endoplasmic reticulum membrane (GO:0098553)	2/28	0.0020487507071338573	0.05190168458072438	0	0	33.32107023411371	206.2749210684383	HLA-B;HLA-DRA
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	2/28	0.0020487507071338573	0.05190168458072438	0	0	33.32107023411371	206.2749210684383	HLA-B;HLA-DRA
integral component of endoplasmic reticulum membrane (GO:0030176)	3/142	0.0047985627499253685	0.06522470776833472	0	0	9.50263788968825	50.73875376418059	HSD11B1;HLA-B;HLA-DRA
specific granule (GO:0042581)	3/160	0.00667723136986884	0.06522470776833472	0	0	8.40552016985138	42.103686297635505	MCEMP1;MMP8;OSCAR
tertiary granule (GO:0070820)	3/164	0.007146124369866472	0.06522470776833472	0	0	8.195031055900621	40.49316547372964	MCEMP1;MMP8;OSCAR
ER to Golgi transport vesicle membrane (GO:0012507)	2/54	0.007454443516934324	0.06522470776833472	0	0	16.638795986622075	81.51254605805195	HLA-B;HLA-DRA
tertiary granule lumen (GO:1904724)	2/55	0.007723978551513321	0.06522470776833472	0	0	16.32403609515997	79.3907365306209	MMP8;OSCAR
coated vesicle membrane (GO:0030662)	2/55	0.007723978551513321	0.06522470776833472	0	0	16.32403609515997	79.3907365306209	HLA-B;HLA-DRA
transport vesicle membrane (GO:0030658)	2/60	0.009136597521628502	0.06723618242383468	0	0	14.91304347826087	70.02370688055636	HLA-B;HLA-DRA
specific granule lumen (GO:0035580)	2/62	0.00973155271923923	0.06723618242383468	0	0	14.414492753623188	66.77343410311857	MMP8;OSCAR
spermatoproteasome complex (GO:1990111)	1/5	0.011943612841183377	0.07564288132749472	0	0	106.1063829787234	469.7922320558719	PSMB9
MHC class I protein complex (GO:0042612)	1/6	0.014315528554342706	0.08369078231769582	0	0	84.88085106382978	360.4389302463305	HLA-B
COPII-coated ER to Golgi transport vesicle (GO:0030134)	2/79	0.015451624403589763	0.08388024676234443	0	0	11.222473178994917	46.7981748688665	HLA-B;HLA-DRA
NSL complex (GO:0044545)	1/7	0.01668186971656736	0.08427442470887234	0	0	70.73049645390071	289.53053379202834	KANSL1
clathrin-coated endocytic vesicle (GO:0045334)	2/85	0.017741984149236282	0.08427442470887234	0	0	10.408067050811944	41.96346811639173	CEMIP;HLA-DRA
MHC class II protein complex (GO:0042613)	1/13	0.030763558459397336	0.13753120252436457	0	0	35.354609929078016	123.08440365356886	HLA-DRA
mitochondrial envelope (GO:0005740)	2/127	0.03732054480779385	0.15757563363290736	0	0	6.896347826086957	22.676648883778718	NDUFA6;IFI27
endocytic vesicle membrane (GO:0030666)	2/158	0.05522489424795202	0.2093452750827634	0	0	5.517279821627648	15.979926208882299	HLA-B;HLA-DRA
H4 histone acetyltransferase complex (GO:1902562)	1/25	0.05833713362751975	0.2093452750827634	0	0	17.666666666666668	50.20012391375553	KANSL1
MLL1 complex (GO:0071339)	1/26	0.06059994805027362	0.2093452750827634	0	0	16.959148936170212	47.54431675958979	KANSL1
MLL1/2 complex (GO:0044665)	1/26	0.06059994805027362	0.2093452750827634	0	0	16.959148936170212	47.54431675958979	KANSL1
nuclear inner membrane (GO:0005637)	1/28	0.06510961590795171	0.21514481778279695	0	0	15.70133963750985	42.89108304980743	IFI27
endocytic vesicle (GO:0030139)	2/189	0.07552834696297395	0.23917309871608416	0	0	4.595442920251104	11.871165225289417	CEMIP;HLA-DRA
nuclear membrane (GO:0031965)	2/204	0.0860866518338643	0.26170342157494747	0	0	4.250968575118382	10.425079204265643	IFI27;LMNB1
respiratory chain complex I (GO:0045271)	1/42	0.09608912719651233	0.2653774248535683	0	0	10.332641411520498	24.203996656798854	NDUFA6
mitochondrial respiratory chain complex I (GO:0005747)	1/42	0.09608912719651233	0.2653774248535683	0	0	10.332641411520498	24.203996656798854	NDUFA6
phagocytic vesicle membrane (GO:0030670)	1/45	0.10259562282115367	0.2653774248535683	0	0	9.62669245647969	21.91959374925238	HLA-B
Golgi membrane (GO:0000139)	3/472	0.10389071985571338	0.2653774248535683	0	0	2.7694385216773276	6.271160076717205	ZDHHC19;HLA-B;HLA-DRA
anchored component of plasma membrane (GO:0046658)	1/46	0.10475424665272434	0.2653774248535683	0	0	9.412293144208038	21.235433925545344	GAS1
recycling endosome membrane (GO:0055038)	1/58	0.13026448091117324	0.3093781421640364	0	0	7.4262784621127285	15.136154814985696	HLA-B
filopodium (GO:0030175)	1/58	0.13026448091117324	0.3093781421640364	0	0	7.4262784621127285	15.136154814985696	SPATA13
secretory granule membrane (GO:0030667)	2/274	0.1402461189836616	0.32299106190176613	0	0	3.1457800511508953	6.179433198783502	HLA-B;MCEMP1
intracellular organelle lumen (GO:0070013)	4/848	0.14515234985066405	0.3230480025793457	0	0	2.058164584230935	3.9721987830773786	ARG2;IL23A;MMP8;OSCAR
late endosome membrane (GO:0031902)	1/68	0.15097813695287216	0.3230480025793457	0	0	6.314703080342966	11.938705459864398	HLA-DRA
clathrin-coated endocytic vesicle membrane (GO:0030669)	1/69	0.15302273806390057	0.3230480025793457	0	0	6.221526908635795	11.678855914035092	HLA-DRA
tertiary granule membrane (GO:0070821)	1/73	0.1611530393681039	0.3310170538371864	0	0	5.874704491725768	10.72369034010183	MCEMP1
clathrin-coated vesicle (GO:0030136)	1/80	0.1751975715630564	0.339733077630849	0	0	5.35227578777269	9.322813204480115	CEMIP
secretory granule lumen (GO:0034774)	2/316	0.17553116068611888	0.339733077630849	0	0	2.7191913597341455	4.731226274258919	MMP8;OSCAR
actin-based cell projection (GO:0098858)	1/83	0.18114593236975668	0.339733077630849	0	0	5.155682407887909	8.808237552274337	SPATA13
endosome membrane (GO:0010008)	2/325	0.18327705503769484	0.339733077630849	0	0	2.6422129492529276	4.4831914915542725	HLA-B;HLA-DRA
clathrin-coated vesicle membrane (GO:0030665)	1/90	0.19486256522478784	0.3461529053338409	0	0	4.748505857040402	7.765995010266912	HLA-DRA
specific granule membrane (GO:0035579)	1/91	0.19680362708683685	0.3461529053338409	0	0	4.6955082742316785	7.63277814208722	MCEMP1
organelle inner membrane (GO:0019866)	2/346	0.2015427915819252	0.3461529053338409	0	0	2.4782608695652173	3.9695631579712263	NDUFA6;IFI27
early endosome membrane (GO:0031901)	1/97	0.2083541388506012	0.3461529053338409	0	0	4.400709219858156	6.902583070971099	HLA-B
trans-Golgi network membrane (GO:0032588)	1/99	0.21216804410578985	0.3461529053338409	0	0	4.3104646113764655	6.682843716128026	HLA-DRA
phagocytic vesicle (GO:0045335)	1/100	0.2140682440880332	0.3461529053338409	0	0	4.266709649688373	6.576964036635908	HLA-B
cytoplasmic vesicle membrane (GO:0030659)	2/380	0.23153997737213833	0.36660496417255234	0	0	2.2514377731769035	3.293859612933195	HLA-B;HLA-DRA
endoplasmic reticulum membrane (GO:0005789)	3/712	0.24355322125192286	0.37775601663563546	0	0	1.8094029149036202	2.555636489747785	HSD11B1;CYP2C8;CTAGE4
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	1/121	0.25295154382023144	0.3844863466067518	0	0	3.5163120567375885	4.833372529738952	HSD11B1
mitochondrial outer membrane (GO:0005741)	1/126	0.26192812637195095	0.3903242667503583	0	0	3.3748085106382977	4.521180810968198	IFI27
asymmetric synapse (GO:0032279)	1/133	0.2743181354387822	0.39835712070846857	0	0	3.1947130883301096	4.132255212667504	SAMD14
bounding membrane of organelle (GO:0098588)	3/767	0.2793790022705601	0.39835712070846857	0	0	1.6743455497382198	2.135101983956116	ZDHHC19;HLA-B;HLA-DRA
postsynaptic density (GO:0014069)	1/138	0.2830432173454908	0.39835712070846857	0	0	3.077341202050008	3.884083682173603	SAMD14
organelle outer membrane (GO:0031968)	1/142	0.289949249724438	0.4004738394004366	0	0	2.98943715104874	3.7010707882854015	IFI27
recycling endosome (GO:0055037)	1/145	0.2950859869266375	0.4004738394004366	0	0	2.9267139479905437	3.5720206695063976	HLA-B
mitochondrial membrane (GO:0031966)	2/469	0.31090931127587706	0.4145457483678361	0	0	1.8140769015920306	2.119302620070365	NDUFA6;IFI27
late endosome (GO:0005770)	1/189	0.3663730379163756	0.480075015200768	0	0	2.2367587143503846	2.245936661804606	HLA-DRA
integral component of organelle membrane (GO:0031301)	1/214	0.4036797921097899	0.5199943084804073	0	0	1.971731095794626	1.7886229535385159	HSD11B1
lytic vacuole (GO:0000323)	1/219	0.41087873101307043	0.5204463926165559	0	0	1.926019910208862	1.7131122117384412	HLA-DRA
trans-Golgi network (GO:0005802)	1/239	0.43883309748383964	0.5467428755536363	0	0	1.7623815483640264	1.4515611113115576	HLA-DRA
early endosome (GO:0005769)	1/266	0.4745202200543745	0.5695423077866172	0	0	1.5806503412284223	1.178297454098973	HLA-B
lytic vacuole membrane (GO:0098852)	1/267	0.4757983680939466	0.5695423077866172	0	0	1.5746280595104782	1.1695724867903587	HLA-DRA
