Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	2/21	0.001150441700335646	0.09548666112785861	0	0	45.61327231121282	308.69280695051845	HSD11B1;HSD17B14
ER retention sequence binding (GO:0046923)	1/5	0.011943612841183377	0.1273890902922281	0	0	106.1063829787234	469.7922320558719	CEMIP
mannokinase activity (GO:0019158)	1/5	0.011943612841183377	0.1273890902922281	0	0	106.1063829787234	469.7922320558719	HKDC1
fructokinase activity (GO:0008865)	1/5	0.011943612841183377	0.1273890902922281	0	0	106.1063829787234	469.7922320558719	HKDC1
glucokinase activity (GO:0004340)	1/5	0.011943612841183377	0.1273890902922281	0	0	106.1063829787234	469.7922320558719	HKDC1
hexokinase activity (GO:0004396)	1/5	0.011943612841183377	0.1273890902922281	0	0	106.1063829787234	469.7922320558719	HKDC1
collagen receptor activity (GO:0038064)	1/6	0.014315528554342706	0.1273890902922281	0	0	84.88085106382978	360.4389302463305	OSCAR
estradiol 17-beta-dehydrogenase activity (GO:0004303)	1/8	0.019042648937520508	0.1273890902922281	0	0	60.62310030395137	240.13259456270143	HSD17B14
estrogen 16-alpha-hydroxylase activity (GO:0101020)	1/8	0.019042648937520508	0.1273890902922281	0	0	60.62310030395137	240.13259456270143	CYP2C8
hyalurononglucosaminidase activity (GO:0004415)	1/8	0.019042648937520508	0.1273890902922281	0	0	60.62310030395137	240.13259456270143	CEMIP
heme binding (GO:0020037)	2/91	0.020167091404841242	0.1273890902922281	0	0	9.703468490473865	37.87946042910896	CYP2C8;CBSL
clathrin heavy chain binding (GO:0032050)	1/9	0.021397878854313653	0.1273890902922281	0	0	53.04255319148936	203.9201586743584	CEMIP
retinoic acid 4-hydroxylase activity (GO:0008401)	1/9	0.021397878854313653	0.1273890902922281	0	0	53.04255319148936	203.9201586743584	CYP2C8
MHC class II receptor activity (GO:0032395)	1/10	0.0237475721230066	0.1273890902922281	0	0	47.146572104018915	176.3411440394006	HLA-DRA
ubiquitination-like modification-dependent protein binding (GO:0140035)	1/10	0.0237475721230066	0.1273890902922281	0	0	47.146572104018915	176.3411440394006	DAXX
hyaluronic acid binding (GO:0005540)	1/11	0.026091741385155156	0.1273890902922281	0	0	42.42978723404255	154.70479323760136	CEMIP
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	1/11	0.026091741385155156	0.1273890902922281	0	0	42.42978723404255	154.70479323760136	ARG2
hexosaminidase activity (GO:0015929)	1/12	0.02843039928954076	0.13109573005732683	0	0	38.57059961315281	137.3227634294791	CEMIP
arachidonic acid epoxygenase activity (GO:0008392)	1/16	0.037730169536142964	0.1571649235071282	0	0	28.279432624113475	92.68005025728142	CYP2C8
CXCR chemokine receptor binding (GO:0045236)	1/17	0.0400414596344939	0.1571649235071282	0	0	26.51063829787234	85.306988915029	CXCL8
MHC class II protein complex binding (GO:0023026)	1/17	0.0400414596344939	0.1571649235071282	0	0	26.51063829787234	85.306988915029	HLA-DRA
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	1/18	0.042347313814152854	0.1571649235071282	0	0	24.94993742177722	78.88796682594588	HGD
arachidonic acid monooxygenase activity (GO:0008391)	1/19	0.04464774457519721	0.1571649235071282	0	0	23.562647754137117	73.25512875801161	CYP2C8
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)	1/20	0.046942764384003306	0.1571649235071282	0	0	22.32138857782755	68.27724816722397	CYP2C8
pyridoxal phosphate binding (GO:0030170)	1/21	0.04923238567693172	0.1571649235071282	0	0	21.204255319148935	63.85033051565917	CBSL
histone acetyltransferase binding (GO:0035035)	1/21	0.04923238567693172	0.1571649235071282	0	0	21.204255319148935	63.85033051565917	KANSL1
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	1/25	0.05833713362751975	0.1793326700401533	0	0	17.666666666666668	50.20012391375553	ZDHHC19
glutathione transferase activity (GO:0004364)	1/27	0.06285743806698686	0.17990232274344517	0	0	16.306055646481177	45.11699715873728	GSTM1
androgen receptor binding (GO:0050681)	1/27	0.06285743806698686	0.17990232274344517	0	0	16.306055646481177	45.11699715873728	DAXX
palmitoyltransferase activity (GO:0016409)	1/29	0.06735649381055159	0.18635296620919273	0	0	15.139817629179332	40.84353327133134	ZDHHC19
kinase activator activity (GO:0019209)	1/31	0.07183439859286861	0.19233080913574496	0	0	14.129078014184397	37.20739858844958	DAXX
NADH dehydrogenase (quinone) activity (GO:0050136)	1/35	0.08072714397087608	0.19667979379331385	0	0	12.46433041301627	31.36873609624054	NDUFA6
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	1/35	0.08072714397087608	0.19667979379331385	0	0	12.46433041301627	31.36873609624054	NDUFA6
steroid hydroxylase activity (GO:0008395)	1/36	0.08293726244296368	0.19667979379331385	0	0	12.10759878419453	30.143935528683446	CYP2C8
NADP binding (GO:0050661)	1/36	0.08293726244296368	0.19667979379331385	0	0	12.10759878419453	30.143935528683446	HSD11B1
signal sequence binding (GO:0005048)	1/42	0.09608912719651233	0.2215388210364034	0	0	10.332641411520498	24.203996656798854	CEMIP
chemokine activity (GO:0008009)	1/46	0.10475424665272434	0.23498925600476003	0	0	9.412293144208038	21.235433925545344	CXCL8
