Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vertebral fusion (HP:0002948)	2/29	0.002197150090738018	0.1646187899187361	0	0	32.085346215781	196.38138304502567	HGD;KANSL1
Gastrointestinal infarctions (HP:0005244)	1/9	0.021397878854313653	0.1646187899187361	0	0	53.04255319148936	203.9201586743584	HLA-B
Back pain (HP:0003418)	1/9	0.021397878854313653	0.1646187899187361	0	0	53.04255319148936	203.9201586743584	HGD
Mitral stenosis (HP:0001718)	1/9	0.021397878854313653	0.1646187899187361	0	0	53.04255319148936	203.9201586743584	HGD
Spondylolisthesis (HP:0003302)	1/9	0.021397878854313653	0.1646187899187361	0	0	53.04255319148936	203.9201586743584	KANSL1
Optic neuritis (HP:0100653)	1/9	0.021397878854313653	0.1646187899187361	0	0	53.04255319148936	203.9201586743584	HLA-B
Retrobulbar optic neuritis (HP:0100654)	1/9	0.021397878854313653	0.1646187899187361	0	0	53.04255319148936	203.9201586743584	HLA-B
Orchitis (HP:0100796)	1/10	0.0237475721230066	0.1646187899187361	0	0	47.146572104018915	176.3411440394006	HLA-B
Vascular calcification (HP:0004934)	1/10	0.0237475721230066	0.1646187899187361	0	0	47.146572104018915	176.3411440394006	HGD
Arthropathy (HP:0003040)	1/10	0.0237475721230066	0.1646187899187361	0	0	47.146572104018915	176.3411440394006	HGD
Abnormality of the fingertips (HP:0001211)	1/11	0.026091741385155156	0.1646187899187361	0	0	42.42978723404255	154.70479323760136	KANSL1
Cardiovascular calcification (HP:0011915)	1/11	0.026091741385155156	0.1646187899187361	0	0	42.42978723404255	154.70479323760136	HGD
Systemic lupus erythematosus (HP:0002725)	1/11	0.026091741385155156	0.1646187899187361	0	0	42.42978723404255	154.70479323760136	C2
Arthralgia (HP:0002829)	2/108	0.027733943310315354	0.1646187899187361	0	0	8.140278917145201	29.183699502581735	HGD;HLA-B
Myositis (HP:0100614)	1/12	0.02843039928954076	0.1646187899187361	0	0	38.57059961315281	137.3227634294791	HLA-B
Pseudobulbar signs (HP:0002200)	1/12	0.02843039928954076	0.1646187899187361	0	0	38.57059961315281	137.3227634294791	LMNB1
Orthostatic hypotension (HP:0001278)	1/12	0.02843039928954076	0.1646187899187361	0	0	38.57059961315281	137.3227634294791	LMNB1
Abnormality of the Achilles tendon (HP:0005109)	1/13	0.030763558459397336	0.1646187899187361	0	0	35.354609929078016	123.08440365356886	HGD
Keratoconjunctivitis sicca (HP:0001097)	1/13	0.030763558459397336	0.1646187899187361	0	0	35.354609929078016	123.08440365356886	HLA-B
Dysautonomia (HP:0002459)	1/14	0.03309123150218267	0.1646187899187361	0	0	32.633387888707034	111.23047645903023	LMNB1
Acute hepatic failure (HP:0006554)	1/14	0.03309123150218267	0.1646187899187361	0	0	32.633387888707034	111.23047645903023	HLA-B
Keratoconjunctivitis (HP:0001096)	1/14	0.03309123150218267	0.1646187899187361	0	0	32.633387888707034	111.23047645903023	HLA-B
Abnormality of the prostate (HP:0008775)	1/15	0.0354134310062899	0.1646187899187361	0	0	30.300911854103344	101.22516915069231	HGD
Hip dysplasia (HP:0001385)	1/15	0.0354134310062899	0.1646187899187361	0	0	30.300911854103344	101.22516915069231	KANSL1
Hypertensive crisis (HP:0100735)	1/16	0.037730169536142964	0.1646187899187361	0	0	28.279432624113475	92.68005025728142	HLA-B
Abnormal cartilage morphology (HP:0002763)	1/16	0.037730169536142964	0.1646187899187361	0	0	28.279432624113475	92.68005025728142	HGD
Dysphonia (HP:0001618)	1/16	0.037730169536142964	0.1646187899187361	0	0	28.279432624113475	92.68005025728142	LMNB1
Prominent metopic ridge (HP:0005487)	1/16	0.037730169536142964	0.1646187899187361	0	0	28.279432624113475	92.68005025728142	KANSL1
Purpura (HP:0000979)	1/17	0.0400414596344939	0.1646187899187361	0	0	26.51063829787234	85.306988915029	C2
Personality changes (HP:0000751)	1/17	0.0400414596344939	0.1646187899187361	0	0	26.51063829787234	85.306988915029	LMNB1
Abnormality of the metopic suture (HP:0005556)	1/18	0.042347313814152854	0.1646187899187361	0	0	24.94993742177722	78.88796682594588	KANSL1
Abnormality of the intervertebral disk (HP:0005108)	1/19	0.04464774457519721	0.1646187899187361	0	0	23.562647754137117	73.25512875801161	HGD
Abnormality of chromosome segregation (HP:0002916)	1/19	0.04464774457519721	0.1646187899187361	0	0	23.562647754137117	73.25512875801161	LMNB1
Abnormality of the musculature of the hand (HP:0001421)	1/20	0.046942764384003306	0.1646187899187361	0	0	22.32138857782755	68.27724816722397	KANSL1
Generalized hypotonia (HP:0001290)	1/20	0.046942764384003306	0.1646187899187361	0	0	22.32138857782755	68.27724816722397	KANSL1
Progressive neurologic deterioration (HP:0002344)	1/21	0.04923238567693172	0.1646187899187361	0	0	21.204255319148935	63.85033051565917	LMNB1
Abnormality of the preputium (HP:0100587)	1/21	0.04923238567693172	0.1646187899187361	0	0	21.204255319148935	63.85033051565917	HLA-B
Bicuspid aortic valve (HP:0001647)	1/21	0.04923238567693172	0.1646187899187361	0	0	21.204255319148935	63.85033051565917	KANSL1
Poor speech (HP:0002465)	1/21	0.04923238567693172	0.1646187899187361	0	0	21.204255319148935	63.85033051565917	KANSL1
Nasal speech (HP:0001611)	1/21	0.04923238567693172	0.1646187899187361	0	0	21.204255319148935	63.85033051565917	KANSL1
Arterial thrombosis (HP:0004420)	1/22	0.05151662087178671	0.1646187899187361	0	0	20.193515704154002	59.890954463772765	HLA-B
Abnormality of male internal genitalia (HP:0000022)	1/24	0.05606898249846966	0.1646187899187361	0	0	18.435707678075854	53.1164542750393	HGD
Chest pain (HP:0100749)	1/24	0.05606898249846966	0.1646187899187361	0	0	18.435707678075854	53.1164542750393	HLA-B
Abnormal autonomic nervous system physiology (HP:0012332)	1/24	0.05606898249846966	0.1646187899187361	0	0	18.435707678075854	53.1164542750393	LMNB1
Excessive salivation (HP:0003781)	1/25	0.05833713362751975	0.1646187899187361	0	0	17.666666666666668	50.20012391375553	HLA-B
Acanthosis nigricans (HP:0000956)	1/25	0.05833713362751975	0.1646187899187361	0	0	17.666666666666668	50.20012391375553	HSD11B1
Gangrene (HP:0100758)	1/26	0.06059994805027362	0.1646187899187361	0	0	16.959148936170212	47.54431675958979	HLA-B
Encephalitis (HP:0002383)	1/26	0.06059994805027362	0.1646187899187361	0	0	16.959148936170212	47.54431675958979	HLA-B
Insulin resistance (HP:0000855)	1/26	0.06059994805027362	0.1646187899187361	0	0	16.959148936170212	47.54431675958979	HSD11B1
Narrow palate (HP:0000189)	1/26	0.06059994805027362	0.1646187899187361	0	0	16.959148936170212	47.54431675958979	KANSL1
Keratitis (HP:0000491)	1/27	0.06285743806698686	0.1646187899187361	0	0	16.306055646481177	45.11699715873728	HLA-B
Chondrocalcinosis (HP:0000934)	1/27	0.06285743806698686	0.1646187899187361	0	0	16.306055646481177	45.11699715873728	HGD
Widely spaced teeth (HP:0000687)	1/27	0.06285743806698686	0.1646187899187361	0	0	16.306055646481177	45.11699715873728	KANSL1
Dilatation of the ascending aorta (HP:0005111)	1/27	0.06285743806698686	0.1646187899187361	0	0	16.306055646481177	45.11699715873728	HLA-B
Overfolded helix (HP:0000396)	1/28	0.06510961590795171	0.1646187899187361	0	0	15.70133963750985	42.89108304980743	KANSL1
Wide intermamillary distance (HP:0006610)	1/28	0.06510961590795171	0.1646187899187361	0	0	15.70133963750985	42.89108304980743	KANSL1
Joint swelling (HP:0001386)	1/28	0.06510961590795171	0.1646187899187361	0	0	15.70133963750985	42.89108304980743	HGD
