Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cellular response to interferon-gamma (GO:0071346)	9/121	1.0318998334977295E-9	9.218373425583671E-7	0	0	23.070652173913043	477.3748025992523	GBP5;CCL20;HLA-B;IRF7;HLA-DRA;HLA-A;HLA-F;HLA-G;OASL
cytokine-mediated signaling pathway (GO:0019221)	16/621	1.7761798507868346E-9	9.218373425583671E-7	0	0	8.239722740602506	166.02053322018392	CXCL9;CXCL8;CCL20;IL1R2;HLA-B;LIF;FN1;ISG15;HLA-A;HLA-F;HLA-G;OASL;CXCL10;IL1B;IRF7;HLA-DRA
positive regulation of T cell mediated immunity (GO:0002711)	6/36	5.1328888563460665E-9	1.0832213474304131E-6	0	0	55.25555555555555	1054.695787858636	IL1B;HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
cellular response to type I interferon (GO:0071357)	7/65	6.05154361196981E-9	1.0832213474304131E-6	0	0	33.765905779504614	638.9506296646509	HLA-B;IRF7;ISG15;HLA-A;HLA-F;HLA-G;OASL
type I interferon signaling pathway (GO:0060337)	7/65	6.05154361196981E-9	1.0832213474304131E-6	0	0	33.765905779504614	638.9506296646509	HLA-B;IRF7;ISG15;HLA-A;HLA-F;HLA-G;OASL
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	4/7	7.423404581096329E-9	1.0832213474304131E-6	0	0	358.9009009009009	6718.13246954593	HLA-B;HLA-A;HLA-F;HLA-G
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	4/7	7.423404581096329E-9	1.0832213474304131E-6	0	0	358.9009009009009	6718.13246954593	HLA-B;HLA-A;HLA-F;HLA-G
interferon-gamma-mediated signaling pathway (GO:0060333)	7/68	8.348526762469465E-9	1.0832213474304131E-6	0	0	32.10043869776033	597.1060623483071	HLA-B;IRF7;HLA-DRA;HLA-A;HLA-F;HLA-G;OASL
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	4/8	1.4803042575335589E-8	1.7072842436887046E-6	0	0	269.1621621621622	4852.572033024048	HLA-B;HLA-A;HLA-F;HLA-G
positive regulation of T cell mediated cytotoxicity (GO:0001916)	5/26	4.8867082231172255E-8	5.07240313559568E-6	0	0	64.90867579908675	1092.6831527123575	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
positive regulation of cytokine production (GO:0001819)	11/335	7.071269883734666E-8	6.672707399378712E-6	0	0	9.930808918371108	163.50720034748943	ZBP1;C3;GBP5;IL1B;SERPINE1;IRF7;PAEP;ISG15;HLA-A;HLA-G;ALOX15B
regulation of T cell mediated cytotoxicity (GO:0001914)	5/29	8.742031359144616E-8	7.561857125660093E-6	0	0	56.7865296803653	922.9252406231742	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	4/14	2.0796164926398834E-7	1.66049378412323E-5	0	0	107.63243243243244	1656.0231501958028	HLA-DRA;HLA-A;HLA-F;HLA-G
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	4/16	3.758816366507574E-7	2.786893848882044E-5	0	0	89.68468468468468	1326.7944664261415	HLA-B;HLA-A;HLA-F;HLA-G
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	5/43	6.790743767242382E-7	4.6991946869317285E-5	0	0	35.83994232155732	509.0180415551385	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
positive regulation of monocyte chemotaxis (GO:0090026)	4/19	7.93430757794137E-7	5.1473820411894636E-5	0	0	71.73693693693694	1007.6815480778924	CXCL10;SERPINE1;PLA2G7;S100A7
protection from natural killer cell mediated cytotoxicity (GO:0042270)	3/6	1.1316069188511993E-6	6.909458716279676E-5	0	0	265.58666666666664	3636.3786139174363	HLA-B;HLA-A;HLA-G
