Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
lumenal side of endoplasmic reticulum membrane (GO:0098553)	5/28	7.256819234649656E-8	3.7009778096713245E-6	0	0	59.258487194758786	974.1348124149025	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	5/28	7.256819234649656E-8	3.7009778096713245E-6	0	0	59.258487194758786	974.1348124149025	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
MHC protein complex (GO:0042611)	4/20	9.888586711353583E-7	3.3621194818602184E-5	0	0	67.25	929.846544496722	HLA-B;HLA-DRA;HLA-A;HLA-F
ER to Golgi transport vesicle membrane (GO:0012507)	5/54	2.157659412882721E-6	4.827095594615377E-5	0	0	27.77886497064579	362.41658762876284	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
coated vesicle membrane (GO:0030662)	5/55	2.3662233306938123E-6	4.827095594615377E-5	0	0	27.221917808219178	352.63858703009237	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
transport vesicle membrane (GO:0030658)	5/60	3.6588581621615244E-6	6.220058875674592E-5	0	0	24.740971357409713	309.7163722670746	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
COPII-coated ER to Golgi transport vesicle (GO:0030134)	5/79	1.4252044786207256E-5	2.0767265259902002E-4	0	0	18.37097371343947	204.99453407071164	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
integral component of endoplasmic reticulum membrane (GO:0030176)	6/142	1.9442155584031452E-5	2.47887483696401E-4	0	0	12.123774509803921	131.51951673405463	HSD11B1;HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
phagocytic vesicle membrane (GO:0030670)	4/45	2.8243093794598028E-5	3.2008839633877766E-4	0	0	26.21094264996704	274.55075441530295	HLA-B;HLA-A;HLA-F;HLA-G
recycling endosome membrane (GO:0055038)	4/58	7.739514698149411E-5	7.894304992112399E-4	0	0	19.88788788788789	188.27041059189096	HLA-B;HLA-A;HLA-F;HLA-G
endoplasmic reticulum lumen (GO:0005788)	7/285	1.2345351104989092E-4	0.0011447507388262614	0	0	6.96666328908704	62.69750271682643	C3;CDH2;STC2;PLAUR;FN1;NOTUM;FSTL3
MHC class I protein complex (GO:0042612)	2/6	2.2295566243908416E-4	0.0018951231307322153	0	0	131.03947368421052	1101.8503454124493	HLA-B;HLA-A
endocytic vesicle membrane (GO:0030666)	5/158	3.831489243947557E-4	0.003006245406789622	0	0	8.8499418032053	69.62326040998119	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
early endosome membrane (GO:0031901)	4/97	5.634525378662183E-4	0.004105154204453876	0	0	11.525138041267073	86.22448416945146	HLA-B;HLA-A;HLA-F;HLA-G
phagocytic vesicle (GO:0045335)	4/100	6.320694999065338E-4	0.00429807259936443	0	0	11.163288288288289	82.23448822300136	HLA-B;HLA-A;HLA-F;HLA-G
collagen-containing extracellular matrix (GO:0062023)	7/380	7.018650753066395E-4	0.004474389855079827	0	0	5.167201601027074	37.52302632957253	SERPINA3;CDH2;SERPINE1;FN1;LAMC2;L1CAM;S100A7
endosome membrane (GO:0010008)	6/325	0.0016922381969395087	0.010153429181637053	0	0	5.120950888192268	32.6803889230582	HLA-B;IRF7;HLA-DRA;HLA-A;HLA-F;HLA-G
platelet alpha granule lumen (GO:0031093)	3/67	0.002284678941846397	0.012726806233269838	0	0	12.41125	75.4793863747741	SERPINA3;SERPINE1;FN1
Golgi membrane (GO:0000139)	7/472	0.002434612009605876	0.012726806233269838	0	0	4.125367257307285	24.826327623398175	HLA-B;HLA-DRA;HLA-A;HS3ST6;ABCA12;HLA-F;HLA-G
recycling endosome (GO:0055037)	4/145	0.002495452202601929	0.012726806233269838	0	0	7.583285413072647	45.44879316381198	HLA-B;HLA-A;HLA-F;HLA-G
azurophil granule lumen (GO:0035578)	3/90	0.005255305160881568	0.02436550574590545	0	0	9.119540229885057	47.864063805193766	C3;SERPINA3;S100A7
platelet alpha granule (GO:0031091)	3/90	0.005255305160881568	0.02436550574590545	0	0	9.119540229885057	47.864063805193766	SERPINA3;SERPINE1;FN1
intracellular organelle lumen (GO:0070013)	9/848	0.0056510441791251765	0.025061152446555133	0	0	2.966730579882883	15.355545132659735	C3;CDH2;MTHFD2;FTH1;STC2;PLAUR;FN1;NOTUM;FSTL3
secretory granule lumen (GO:0034774)	5/316	0.007869712439298938	0.03344627786702049	0	0	4.319032726952385	20.924563645812366	C3;SERPINA3;SERPINE1;FN1;S100A7
bounding membrane of organelle (GO:0098588)	8/767	0.00995264208184725	0.040606779693936786	0	0	2.885450781102955	13.30168926403266	HLA-B;IRF7;HLA-DRA;HLA-A;HS3ST6;ABCA12;HLA-F;HLA-G
adherens junction (GO:0005912)	3/132	0.014919600928294245	0.05853074210330819	0	0	6.137364341085271	25.80810455737319	CDH2;ALOX15B;RND1
focal adhesion (GO:0005925)	5/387	0.017641472135442718	0.06664556140056138	0	0	3.503550168543355	14.145593536588407	CDH2;PLAUR;L1CAM;ALOX15B;S100A7
cell-substrate junction (GO:0030055)	5/394	0.018906419465662825	0.06887338519634315	0	0	3.4392717540585274	13.647903070798645	CDH2;PLAUR;L1CAM;ALOX15B;S100A7
early endosome (GO:0005769)	4/266	0.020257873137956697	0.07125182965764079	0	0	4.056117185888178	15.815659847602467	HLA-B;HLA-A;HLA-F;HLA-G
azurophil granule (GO:0042582)	3/155	0.02275110115567525	0.07646169957177808	0	0	5.2026315789473685	19.682292644145885	C3;SERPINA3;S100A7
vacuolar lumen (GO:0005775)	3/161	0.02509823460482225	0.07646169957177808	0	0	5.003544303797469	18.437849458753053	C3;SERPINA3;S100A7
low-density lipoprotein particle (GO:0034362)	1/7	0.026986482201804024	0.07646169957177808	0	0	43.108225108225106	155.72497995291064	PLA2G7
NSL complex (GO:0044545)	1/7	0.026986482201804024	0.07646169957177808	0	0	43.108225108225106	155.72497995291064	KANSL1
cis-Golgi network membrane (GO:0033106)	1/7	0.026986482201804024	0.07646169957177808	0	0	43.108225108225106	155.72497995291064	HLA-G
integral component of postsynaptic membrane (GO:0099055)	1/7	0.026986482201804024	0.07646169957177808	0	0	43.108225108225106	155.72497995291064	CDH2
integral component of presynaptic membrane (GO:0099056)	1/7	0.026986482201804024	0.07646169957177808	0	0	43.108225108225106	155.72497995291064	CDH2
autolysosome (GO:0044754)	1/10	0.03833088396798601	0.10566892337120466	0	0	28.734487734487736	93.71751271850756	FTH1
Golgi medial cisterna (GO:0005797)	1/11	0.042083259330542556	0.11296032767671949	0	0	25.85974025974026	81.92637908684091	HLA-A
MHC class II protein complex (GO:0042613)	1/13	0.049544702882849234	0.12633899235126553	0	0	21.547619047619047	64.74800798109044	HLA-DRA
lamellar body (GO:0042599)	1/13	0.049544702882849234	0.12633899235126553	0	0	21.547619047619047	64.74800798109044	ABCA12
axonal growth cone (GO:0044295)	1/14	0.05325388064665963	0.13248526404778738	0	0	19.88911088911089	58.32848923315731	L1CAM
integral component of postsynaptic specialization membrane (GO:0099060)	1/15	0.05694876845661975	0.13830415196607654	0	0	18.467532467532468	52.920620399451245	CDH2
secondary lysosome (GO:0005767)	1/16	0.06062942061210012	0.14381862563800493	0	0	17.235497835497835	48.31066980519067	FTH1
high-density lipoprotein particle (GO:0034364)	1/19	0.07158650318891448	0.1659505301197563	0	0	14.36075036075036	37.867126289308175	PLA2G7
cytoplasmic vesicle lumen (GO:0060205)	2/115	0.07423913419637299	0.1682753708451121	0	0	4.613181183046111	11.99641091291829	C3;SERPINA3
cell-cell junction (GO:0005911)	3/271	0.08944130858439077	0.19832637990451868	0	0	2.9334328358208954	7.0818132900530095	CDH2;ALOX15B;RND1
H4 histone acetyltransferase complex (GO:1902562)	1/25	0.09312354716675378	0.20122057445730812	0	0	10.767316017316018	25.55975843572736	KANSL1
MLL1 complex (GO:0071339)	1/26	0.09666478576870684	0.20122057445730812	0	0	10.336103896103896	24.150369828536576	KANSL1
MLL1/2 complex (GO:0044665)	1/26	0.09666478576870684	0.20122057445730812	0	0	10.336103896103896	24.150369828536576	KANSL1
catenin complex (GO:0016342)	1/31	0.11416724371228316	0.22833448742456633	0	0	8.611255411255412	18.687206622741385	CDH2
intercalated disc (GO:0014704)	1/31	0.11416724371228316	0.22833448742456633	0	0	8.611255411255412	18.687206622741385	CDH2
cytosolic small ribosomal subunit (GO:0022627)	1/40	0.14483209774889816	0.28409373019976175	0	0	6.621045621045621	12.793052948103549	ISG15
cortical actin cytoskeleton (GO:0030864)	1/42	0.15150287233387297	0.29157156562368003	0	0	6.297434273044029	11.884207464543648	CDH2
small ribosomal subunit (GO:0015935)	1/45	0.16141283090868078	0.30489090282750814	0	0	5.867178276269185	10.700501237044435	ISG15
cell-cell contact zone (GO:0044291)	1/47	0.16795590284320164	0.3114818561819376	0	0	5.611518915866742	10.011251741635744	CDH2
basement membrane (GO:0005604)	1/52	0.1840939081302401	0.32936192551201016	0	0	5.060096765979119	8.563248721315855	LAMC2
cytoplasmic vesicle membrane (GO:0030659)	3/380	0.18512887863986272	0.32936192551201016	0	0	2.0737400530503978	3.4977836830653044	HLA-B;IRF7;HLA-DRA
Golgi cisterna (GO:0031985)	1/53	0.18728423215388812	0.32936192551201016	0	0	4.962537462537463	8.312884750125273	HLA-A
tertiary granule lumen (GO:1904724)	1/55	0.1936279810347673	0.33474667907705535	0	0	4.778258778258778	7.845024506914563	FTH1
cis-Golgi network (GO:0005801)	1/57	0.19992284296479884	0.33734402103383876	0	0	4.607142857142857	7.416688092632905	HLA-G
cortical cytoskeleton (GO:0030863)	1/58	0.20305205765045423	0.33734402103383876	0	0	4.526087947140579	7.2159098390180505	CDH2
integral component of plasma membrane (GO:0005887)	8/1454	0.20505224807939218	0.33734402103383876	0	0	1.4602647698083382	2.3137756021467872	CD83;CDH2;ADORA2A;SLCO4A1;HLA-B;HLA-DRA;HLA-A;CD69
late endosome membrane (GO:0031902)	1/68	0.23368720817371372	0.37141498468960615	0	0	3.8486140724946694	5.595006511592121	HLA-DRA
autophagosome (GO:0005776)	1/69	0.2366860196551412	0.37141498468960615	0	0	3.791825821237586	5.464099983669562	FTH1
clathrin-coated endocytic vesicle membrane (GO:0030669)	1/69	0.2366860196551412	0.37141498468960615	0	0	3.791825821237586	5.464099983669562	HLA-DRA
lytic vacuole membrane (GO:0098852)	2/267	0.2795464564392015	0.43102009167276334	0	0	1.9520357497517378	2.4880389754318073	HLA-DRA;HLA-F
clathrin-coated endocytic vesicle (GO:0045334)	1/85	0.28312104060857984	0.43102009167276334	0	0	3.067099567099567	3.8703139555712807	HLA-DRA
secretory granule membrane (GO:0030667)	2/274	0.2896659056176707	0.43449885842650604	0	0	1.9011222910216719	2.3555419814146483	PLAUR;HLA-B
clathrin-coated vesicle membrane (GO:0030665)	1/90	0.29705167184738396	0.4368595282068601	0	0	2.894060995184591	3.512953554379464	HLA-DRA
specific granule membrane (GO:0035579)	1/91	0.29980555857333535	0.4368595282068601	0	0	2.8617604617604617	3.447337185759639	PLAUR
trans-Golgi network membrane (GO:0032588)	1/99	0.32145661508457885	0.4618109118116485	0	0	2.62708719851577	2.9814620568393426	HLA-DRA
actin cytoskeleton (GO:0015629)	2/316	0.3498639272675947	0.4956405636290925	0	0	1.643312101910828	1.72582441188992	CDH2;RND1
lysosomal membrane (GO:0005765)	2/330	0.36959794913395133	0.516424531666617	0	0	1.5720474967907574	1.564720950740327	HLA-DRA;HLA-F
intrinsic component of endoplasmic reticulum membrane (GO:0031227)	1/121	0.3776475230484069	0.5202298548430373	0	0	2.143073593073593	2.0869122002768696	HSD11B1
ficolin-1-rich granule lumen (GO:1904813)	1/123	0.3825219520904686	0.5202298548430373	0	0	2.107728337236534	2.025462090511812	FTH1
mitochondrial outer membrane (GO:0005741)	1/126	0.3897630126342866	0.523102990640753	0	0	2.056831168831169	1.9379800273626286	BCL2A1
asymmetric synapse (GO:0032279)	1/133	0.40633443538790825	0.5382612001242421	0	0	1.9470680834317198	1.7534880939718522	CDH2
postsynaptic density (GO:0014069)	1/138	0.41789839507195564	0.5464825166325574	0	0	1.8755332258981894	1.6364345298753245	CDH2
organelle outer membrane (GO:0031968)	1/142	0.4269892153565235	0.5513025312198152	0	0	1.8219581836603114	1.5504800790707707	BCL2A1
specific granule (GO:0042581)	1/160	0.46619367804395795	0.5943969395060463	0	0	1.6142285387568407	1.2319051488061405	PLAUR
tertiary granule (GO:0070820)	1/164	0.4745394477168269	0.5975681934211894	0	0	1.5742968687753964	1.1734974618386596	FTH1
microtubule (GO:0005874)	1/182	0.5105291605222498	0.6271000189086013	0	0	1.4164454330200187	0.9522869184358412	KIF12
ficolin-1-rich granule (GO:0101002)	1/184	0.5143746000558086	0.6271000189086013	0	0	1.4008232204953517	0.9312721589738321	FTH1
endocytic vesicle (GO:0030139)	1/189	0.5238582058577641	0.6271000189086013	0	0	1.3632218844984803	0.8813696124873632	HLA-DRA
late endosome (GO:0005770)	1/189	0.5238582058577641	0.6271000189086013	0	0	1.3632218844984803	0.8813696124873632	HLA-DRA
endoplasmic reticulum membrane (GO:0005789)	3/712	0.5287313884915658	0.6271000189086013	0	0	1.0839492242595206	0.6907734690724056	HSD11B1;PLAUR;HLA-A
axon (GO:0030424)	1/204	0.5512256393643044	0.6462645427029775	0	0	1.2615315718763995	0.7513821376074742	L1CAM
lysosome (GO:0005764)	2/477	0.5583480716197907	0.6471761739229392	0	0	1.0773961218836565	0.6278770758030462	HLA-DRA;HLA-F
integral component of organelle membrane (GO:0031301)	1/214	0.5686017793331285	0.6516559718199899	0	0	1.201695018596427	0.6784469055764961	HSD11B1
lytic vacuole (GO:0000323)	1/219	0.5770390724251957	0.6539776154152218	0	0	1.1738353389729537	0.64542784206402	HLA-DRA
trans-Golgi network (GO:0005802)	1/239	0.609189593897479	0.6828278964565149	0	0	1.0741023682200153	0.5323527807556536	HLA-DRA
polymeric cytoskeletal fiber (GO:0099513)	1/256	0.6346116207343304	0.7035911447271924	0	0	1.0016297428062133	0.45548320074337867	KIF12
neuron projection (GO:0043005)	2/556	0.6423011859439947	0.7044593652288973	0	0	0.9200076002280069	0.4072854770580069	CDH2;L1CAM
