Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine activity (GO:0005125)	7/173	5.056221917789152E-6	6.724775150659572E-4	0	0	11.7335822161887	143.0897562846466	CXCL10;CXCL9;CXCL8;CCL20;IL1B;LIF;INHBA
chemokine activity (GO:0008009)	4/46	3.08416748570752E-5	0.0014302530688415584	0	0	25.585585585585587	265.74836140489884	CXCL10;CXCL9;CXCL8;CCL20
CXCR chemokine receptor binding (GO:0045236)	3/17	3.730359414854815E-5	0.0014302530688415584	0	0	56.88	579.9724195455716	CXCL10;CXCL9;CXCL8
chemokine receptor binding (GO:0042379)	4/50	4.301512988997168E-5	0.0014302530688415584	0	0	23.356051703877792	234.82077797050783	CXCL10;CXCL9;CXCL8;CCL20
CXCR3 chemokine receptor binding (GO:0048248)	2/5	1.4901384711723037E-4	0.003963768333318328	0	0	174.7280701754386	1539.6113796153343	CXCL10;CXCL9
protein homodimerization activity (GO:0042803)	8/636	0.0033168141349039534	0.0735227133237043	0	0	3.511191992720655	20.04451923604281	HSD11B1;GBP5;NR4A3;BCL2A1;STC2;NOG;HLA-G;TYMP
receptor ligand activity (GO:0048018)	5/307	0.006990606652991218	0.12855402988326178	0	0	4.44978680939853	22.085128218212606	CXCL10;CXCL9;IL1B;LIF;INHBA
iron ion binding (GO:0005506)	2/54	0.018849868567545856	0.12855402988326178	0	0	10.055668016194332	39.933564949004506	FTH1;ALOX15B
interleukin-1 receptor activity (GO:0004908)	1/5	0.01935026346677325	0.12855402988326178	0	0	64.66883116883118	255.1217234964787	IL1R2
alpha-2A adrenergic receptor binding (GO:0031694)	1/5	0.01935026346677325	0.12855402988326178	0	0	64.66883116883118	255.1217234964787	UCHL1
TAP1 binding (GO:0046978)	1/5	0.01935026346677325	0.12855402988326178	0	0	64.66883116883118	255.1217234964787	HLA-F
serine-type endopeptidase inhibitor activity (GO:0004867)	2/60	0.02296862590360908	0.12855402988326178	0	0	9.012704174228675	34.01057557204025	SERPINA3;SERPINE1
dihydropyrimidinase activity (GO:0004157)	1/6	0.023175738337888063	0.12855402988326178	0	0	51.73246753246753	194.75459813850165	DPYSL4
alkaline phosphatase activity (GO:0004035)	1/6	0.023175738337888063	0.12855402988326178	0	0	51.73246753246753	194.75459813850165	CILP2
apolipoprotein receptor binding (GO:0034190)	1/6	0.023175738337888063	0.12855402988326178	0	0	51.73246753246753	194.75459813850165	ABCA12
thyroid hormone transmembrane transporter activity (GO:0015349)	1/6	0.023175738337888063	0.12855402988326178	0	0	51.73246753246753	194.75459813850165	SLCO4A1
1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847)	1/7	0.026986482201804024	0.12855402988326178	0	0	43.108225108225106	155.72497995291064	PLA2G7
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity (GO:0008467)	1/7	0.026986482201804024	0.12855402988326178	0	0	43.108225108225106	155.72497995291064	HS3ST6
oxidoreductase activity, acting on metal ions, oxygen as acceptor (GO:0016724)	1/7	0.026986482201804024	0.12855402988326178	0	0	43.108225108225106	155.72497995291064	FTH1
ferric iron binding (GO:0008199)	1/7	0.026986482201804024	0.12855402988326178	0	0	43.108225108225106	155.72497995291064	FTH1
ferroxidase activity (GO:0004322)	1/7	0.026986482201804024	0.12855402988326178	0	0	43.108225108225106	155.72497995291064	FTH1
CCR6 chemokine receptor binding (GO:0031731)	1/7	0.026986482201804024	0.12855402988326178	0	0	43.108225108225106	155.72497995291064	CCL20
calcium-independent phospholipase A2 activity (GO:0047499)	1/8	0.030782550739377516	0.12855402988326178	0	0	36.94805194805195	128.6090483496386	PLA2G7
double-stranded RNA binding (GO:0003725)	2/73	0.03301630357383396	0.12855402988326178	0	0	7.357672349888807	25.095208866389928	ZBP1;OASL
purine ribonucleoside triphosphate binding (GO:0035639)	5/460	0.033837715041019865	0.12855402988326178	0	0	2.9304531085353003	9.923039564759197	GBP5;DIRAS2;ABCA12;RND1;ABCF1
interleukin-1 binding (GO:0019966)	1/9	0.03456399952153642	0.12855402988326178	0	0	32.327922077922075	108.78160264941484	IL1R2
glucocorticoid receptor binding (GO:0035259)	1/9	0.03456399952153642	0.12855402988326178	0	0	32.327922077922075	108.78160264941484	NR4A3
RAGE receptor binding (GO:0050786)	1/9	0.03456399952153642	0.12855402988326178	0	0	32.327922077922075	108.78160264941484	S100A7
GTP binding (GO:0005525)	3/189	0.03771002353501589	0.12855402988326178	0	0	4.244301075268817	13.912094607617313	GBP5;DIRAS2;RND1
phosphatase activity (GO:0016791)	2/79	0.03813507740610901	0.12855402988326178	0	0	6.782296650717703	22.155190996144995	DUSP5;CILP2
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	1/10	0.03833088396798601	0.12855402988326178	0	0	28.734487734487736	93.71751271850756	DPYSL4
interleukin-1 receptor binding (GO:0005149)	1/10	0.03833088396798601	0.12855402988326178	0	0	28.734487734487736	93.71751271850756	IL1B
activin receptor binding (GO:0070697)	1/10	0.03833088396798601	0.12855402988326178	0	0	28.734487734487736	93.71751271850756	INHBA
phosphate ion binding (GO:0042301)	1/10	0.03833088396798601	0.12855402988326178	0	0	28.734487734487736	93.71751271850756	MTHFD2
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	1/10	0.03833088396798601	0.12855402988326178	0	0	28.734487734487736	93.71751271850756	DUSP5
