Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sepsis (HP:0100806)	3/50	9.802139911592198E-4	0.17994838748500452	0	0	16.914893617021278	117.18197921679685	HLA-B;ABCA12;L1CAM
Dehydration (HP:0001944)	3/56	0.0013632453597348828	0.17994838748500452	0	0	14.995471698113208	98.93842969511049	ZFP57;LAMC2;ABCA12
Insulin resistance (HP:0000855)	2/26	0.004592704504975783	0.20146475723701948	0	0	21.81798245614035	117.45244412236711	HSD11B1;ZFP57
Gangrene (HP:0100758)	2/26	0.004592704504975783	0.20146475723701948	0	0	21.81798245614035	117.45244412236711	HLA-B;ABCA12
Vertebral fusion (HP:0002948)	2/29	0.005694162398555968	0.20146475723701948	0	0	19.39083820662768	100.21793610616197	KANSL1;NOG
Corneal erosion (HP:0200020)	2/35	0.008219898661889062	0.20146475723701948	0	0	15.860446570972886	76.14913481127942	HLA-B;ABCA12
Weight loss (HP:0001824)	3/108	0.008687681310443913	0.20146475723701948	0	0	7.549333333333333	35.82799754575236	HLA-B;L1CAM;TYMP
Increased intracranial pressure (HP:0002516)	2/38	0.009638997494562276	0.20146475723701948	0	0	14.536549707602338	67.47776494938404	HLA-B;L1CAM
Abnormality of intracranial pressure (HP:0012640)	2/38	0.009638997494562276	0.20146475723701948	0	0	14.536549707602338	67.47776494938404	HLA-B;L1CAM
Camptodactyly of finger (HP:0100490)	3/121	0.01182163965273476	0.20146475723701948	0	0	6.713220338983051	29.792087371184135	NOG;LAMC2;L1CAM
Abdominal pain (HP:0002027)	3/125	0.012900297463551192	0.20146475723701948	0	0	6.491803278688525	28.242622030186567	HLA-B;L1CAM;TYMP
Glomerulopathy (HP:0100820)	2/52	0.017554309677516134	0.20146475723701948	0	0	10.458947368421052	42.27983238386785	HLA-B;FN1
Pyloric stenosis (HP:0002021)	2/61	0.023688058600780455	0.20146475723701948	0	0	8.85950044603033	33.159198416221344	KANSL1;LAMC2
Pruritus (HP:0000989)	2/70	0.030567483298969404	0.20146475723701948	0	0	7.68343653250774	26.79843186891491	HLA-DRA;ABCA12
Abnormal blistering of the skin (HP:0008066)	2/70	0.030567483298969404	0.20146475723701948	0	0	7.68343653250774	26.79843186891491	HLA-B;LAMC2
Short 1st metacarpal (HP:0010034)	1/8	0.030782550739377516	0.20146475723701948	0	0	36.94805194805195	128.6090483496386	NOG
Aplasia/Hypoplasia of the 1st metacarpal (HP:0010026)	1/8	0.030782550739377516	0.20146475723701948	0	0	36.94805194805195	128.6090483496386	NOG
Hypermetropia (HP:0000540)	2/73	0.03301630357383396	0.20146475723701948	0	0	7.357672349888807	25.095208866389928	KANSL1;NOG
Everted lower lip vermilion (HP:0000232)	2/74	0.033849207161466395	0.20146475723701948	0	0	7.255116959064328	24.564663042736274	KANSL1;ABCA12
Gastrointestinal infarctions (HP:0005244)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	HLA-B
Humeroradial synostosis (HP:0003041)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	NOG
Spondylolisthesis (HP:0003302)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	KANSL1
Optic neuritis (HP:0100653)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	HLA-B
Retrobulbar optic neuritis (HP:0100654)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	HLA-B
Malnutrition (HP:0004395)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	TYMP
Myokymia (HP:0002411)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	UCHL1
Abnormality of the proximal phalanges of the hand (HP:0009834)	1/9	0.03456399952153642	0.20146475723701948	0	0	32.327922077922075	108.78160264941484	NOG
