Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
synapse organization (GO:0050808)	8/126	3.6479664687468924E-6	0.004432279259527474	0	0	9.839481555333998	123.20350064407505	KIRREL3;CHRNA1;CDH2;DSCAM;SPOCK2;L1CAM;SHANK3;SLC8A2
synapse assembly (GO:0007416)	6/69	1.0358056291641465E-5	0.00629251919717219	0	0	13.659765355417528	156.783316559475	KIRREL3;CDH2;DSCAM;WNT3A;SPOCK2;SHANK3
positive regulation of interleukin-6 production (GO:0032755)	6/76	1.8125697185866527E-5	0.006878056401616881	0	0	12.28944099378882	134.17832754889508	IL1A;IL33;IL16;POU2F2;IL6R;AGER
extracellular structure organization (GO:0043062)	9/216	2.7295895201083105E-5	0.006878056401616881	0	0	6.328180354267311	66.50141860448666	VWF;COL5A3;ITGA10;SPOCK2;COL22A1;SMOC1;COL11A2;BGN;NPNT
external encapsulating structure organization (GO:0045229)	9/217	2.8304758854390457E-5	0.006878056401616881	0	0	6.297435897435897	65.94977532894913	VWF;COL5A3;ITGA10;SPOCK2;COL22A1;SMOC1;COL11A2;BGN;NPNT
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	5/60	7.167972374895533E-5	0.014515144059163454	0	0	12.95029431000654	123.58857791959943	KIRREL3;CDH2;DSCAM;HMCN1;L1CAM
regulation of interleukin-6 production (GO:0032675)	6/110	1.4536302605536693E-4	0.025230868093895832	0	0	8.25752508361204	72.96577332865527	IL1A;IL33;IL16;POU2F2;IL6R;AGER
extracellular matrix organization (GO:0030198)	9/300	3.310393191153759E-4	0.05027659659064771	0	0	4.482245131729668	35.917455689837404	VWF;COL5A3;ITGA10;SPOCK2;COL22A1;SMOC1;COL11A2;BGN;NPNT
positive regulation of axon extension involved in axon guidance (GO:0048842)	2/5	5.075389505379983E-4	0.057538804252241484	0	0	93.20657276995306	707.0591983548046	SEMA5A;DSCAM
positive regulation of axon extension (GO:0045773)	3/22	5.091466528586429E-4	0.057538804252241484	0	0	22.213885778275476	168.4428858112168	SEMA5A;DSCAM;L1CAM
regulation of axon extension involved in axon guidance (GO:0048841)	3/24	6.621504024195333E-4	0.057538804252241484	0	0	20.096251266464034	147.10491766394088	SEMA5A;DSCAM;SEMA3G
axon guidance (GO:0007411)	7/203	6.810075703160695E-4	0.057538804252241484	0	0	5.125130344108446	37.37212828000333	SEMA5A;DSCAM;TUBB3;SEMA3G;UNC5C;L1CAM;SHANK3
positive regulation of cytokine production (GO:0001819)	9/335	7.326214073609455E-4	0.057538804252241484	0	0	3.9938650306748467	28.831238331393827	IL1A;IL33;IL16;TRIM27;GATA3;LTB;POU2F2;IL6R;AGER
regulation of AMPA receptor activity (GO:2000311)	3/25	7.484917964399741E-4	0.057538804252241484	0	0	19.181818181818183	138.0601832989772	PRRT1;MAPK8IP2;SHANK3
ventricular cardiac muscle tissue development (GO:0003229)	3/25	7.484917964399741E-4	0.057538804252241484	0	0	19.181818181818183	138.0601832989772	TGFBR3;TNNT2;HOPX
norepinephrine biosynthetic process (GO:0042421)	2/6	7.577126485891882E-4	0.057538804252241484	0	0	69.90140845070422	502.2560428789858	TH;GATA3
cell junction assembly (GO:0034329)	5/102	8.585820338333362E-4	0.06136336300632373	0	0	7.327375213231477	51.73294204556515	KIRREL3;CDH2;DSCAM;SPOCK2;SHANK3
ammonium transport (GO:0015696)	2/7	0.0010557895797909539	0.06751496523400047	0	0	55.91830985915493	383.23425637297356	RHCG;AQP1
