Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
collagen-containing extracellular matrix (GO:0062023)	13/380	3.8220275903994975E-6	4.204230349439447E-4	0	0	5.269817168292531	65.73954365377709	VWF;ATRNL1;COL11A2;BGN;NPNT;L1CAM;SOD3;MFAP4;CDH2;COL5A3;SMOC1;ANGPTL2;HMCN1
neuron projection (GO:0043005)	13/556	1.956763264555642E-4	0.010762197955056032	0	0	3.5295713663138066	30.139181643868348	KIRREL3;CHRNA1;DSCAM;SLC1A3;L1CAM;SLC8A2;CDH2;TH;SV2B;TUBB3;P2RY1;SHANK3;CDK5R2
asymmetric synapse (GO:0032279)	6/133	4.0655641608555086E-4	0.010884294532538587	0	0	6.754193769257104	52.735312072789576	CDH2;P2RY1;SYNDIG1;MAPK8IP2;SHANK3;SLC8A2
intracellular organelle lumen (GO:0070013)	16/848	4.093075317241327E-4	0.010884294532538587	0	0	2.858173076923077	22.296733284342064	ARG2;WNT3A;CRISP3;COL22A1;COL11A2;BGN;SOD3;OSCAR;CHIT1;CDH2;COL5A3;PDK4;SPARCL1;MUC13;MELTF;MUC21
postsynaptic density (GO:0014069)	6/138	4.947406605699358E-4	0.010884294532538587	0	0	6.496706192358366	49.449528789124294	CDH2;P2RY1;SYNDIG1;MAPK8IP2;SHANK3;SLC8A2
Golgi lumen (GO:0005796)	5/100	7.850264081556695E-4	0.014392150816187273	0	0	7.482393032942068	53.49756282504841	WNT3A;BGN;MUC13;SOD3;MUC21
exocytic vesicle membrane (GO:0099501)	3/41	0.003189527109431039	0.04385599775467679	0	0	11.096304591265397	63.78025624790433	SV2B;SYNDIG1;SYNGR3
synaptic vesicle membrane (GO:0030672)	3/41	0.003189527109431039	0.04385599775467679	0	0	11.096304591265397	63.78025624790433	SV2B;SYNDIG1;SYNGR3
axon (GO:0030424)	6/204	0.003639891591888339	0.04448756390085747	0	0	4.316644707949056	24.24141930884234	KIRREL3;DSCAM;TH;TUBB3;L1CAM;SLC8A2
endoplasmic reticulum lumen (GO:0005788)	7/285	0.004645133686223146	0.051096470548454606	0	0	3.5983300950480492	19.329995834180014	CDH2;WNT3A;COL5A3;COL22A1;COL11A2;SPARCL1;MELTF
specific granule (GO:0042581)	5/160	0.006073117572531767	0.06073117572531767	0	0	4.572058482246461	23.335252487824388	CHIT1;CRISP3;MCEMP1;CD36;OSCAR
tertiary granule lumen (GO:1904724)	3/55	0.007295933453018257	0.06637677495766098	0	0	8.103109656301145	39.87084986441187	CHIT1;CRISP3;OSCAR
integral component of plasma membrane (GO:0005887)	19/1454	0.008308412308256161	0.06637677495766098	0	0	1.95121393728223	9.347264505824919	KIRREL3;CHRNA1;VIPR1;KIRREL2;GCGR;SEMA3G;SLC1A3;PTPRH;MERTK;AGER;SLC8A2;AQP1;TGFBR3;CDH2;P2RY1;SYNDIG1;CD36;RHCG;IL6R
filopodium (GO:0030175)	3/58	0.008447953176429579	0.06637677495766098	0	0	7.659961315280464	36.56736151029125	TUBB3;SPATA13;UNC5C
specific granule lumen (GO:0035580)	3/62	0.010141304428299322	0.07436956580752836	0	0	7.139199423007573	32.77705438138524	CHIT1;CRISP3;OSCAR
myofibril (GO:0030016)	2/27	0.016061755469987723	0.1104245688561656	0	0	11.172394366197183	46.15667226914974	TNNT2;LMOD1
actin-based cell projection (GO:0098858)	3/83	0.022097809787392047	0.1429858280360662	0	0	5.259574468085106	20.050953617427517	TUBB3;SPATA13;UNC5C
cell projection membrane (GO:0031253)	3/92	0.028833929074689756	0.16211167642604907	0	0	4.72555582118097	16.757777830933524	CD36;SHANK3;AQP1
brush border membrane (GO:0031526)	2/37	0.029086989356807046	0.16211167642604907	0	0	7.97625754527163	28.21572636126222	CD36;AQP1
neuromuscular junction (GO:0031594)	2/38	0.030560486969918723	0.16211167642604907	0	0	7.754303599374022	27.047378352987913	CHRNA1;SYNGR3
tertiary granule (GO:0070820)	4/164	0.030948592772245733	0.16211167642604907	0	0	3.5171428571428573	12.223575881729795	CHIT1;CRISP3;MCEMP1;OSCAR
cardiac myofibril (GO:0097512)	1/5	0.03548861536845943	0.1626561537721057	0	0	34.70629370629371	115.86846528512848	TNNT2
piP-body (GO:0071547)	1/5	0.03548861536845943	0.1626561537721057	0	0	34.70629370629371	115.86846528512848	MAEL
elastic fiber (GO:0071953)	1/5	0.03548861536845943	0.1626561537721057	0	0	34.70629370629371	115.86846528512848	MFAP4
dendrite (GO:0030425)	5/270	0.04592538366600056	0.20097951349528284	0	0	2.659291434776707	8.192578298012453	KIRREL3;DSCAM;TUBB3;P2RY1;SLC8A2
integral component of postsynaptic membrane (GO:0099055)	1/7	0.04933133513066033	0.20097951349528284	0	0	23.135198135198134	69.6183410331835	CDH2
integral component of presynaptic membrane (GO:0099056)	1/7	0.04933133513066033	0.20097951349528284	0	0	23.135198135198134	69.6183410331835	CDH2
basement membrane (GO:0005604)	2/52	0.05402567668974317	0.20492498054730168	0	0	5.579154929577465	16.281624684048072	ATRNL1;SMOC1
sarcolemma (GO:0042383)	2/52	0.05402567668974317	0.20492498054730168	0	0	5.579154929577465	16.281624684048072	AQP1;SLC8A2
caveola (GO:0005901)	2/60	0.06951073245381138	0.2548726856639751	0	0	4.807673627974745	12.818575745414474	CAVIN4;CD36
microfibril (GO:0001527)	1/11	0.07642764774151524	0.2611117633295918	0	0	13.878321678321678	35.68686578929854	MFAP4
secretory granule lumen (GO:0034774)	5/316	0.07858166537483927	0.2611117633295918	0	0	2.2606352217261563	5.750189890761432	CHIT1;VWF;CRISP3;SELENOP;OSCAR
melanosome membrane (GO:0033162)	1/12	0.08308101560487012	0.2611117633295918	0	0	12.616020343293071	31.387889738679515	TH
chitosome (GO:0045009)	1/12	0.08308101560487012	0.2611117633295918	0	0	12.616020343293071	31.387889738679515	TH
pigment granule membrane (GO:0090741)	1/12	0.08308101560487012	0.2611117633295918	0	0	12.616020343293071	31.387889738679515	TH
lamellar body (GO:0042599)	1/13	0.08968678389130744	0.27146107631280225	0	0	11.564102564102564	27.886045327020618	ABCA12
