Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ammonium transmembrane transporter activity (GO:0008519)	2/10	0.0022305453683866745	0.24144815015183949	0	0	34.943661971830984	213.34884837859187	RHCG;AQP1
amyloid-beta binding (GO:0001540)	4/80	0.0026687656267092674	0.24144815015183949	0	0	7.43609022556391	44.067305970540424	CD36;MAPK8IP2;AGER;ITM2A
tropomyosin binding (GO:0005523)	2/16	0.005782163288852711	0.24144815015183949	0	0	19.961770623742456	102.86255278616657	TNNT2;LMOD1
glutamate receptor binding (GO:0035254)	2/17	0.006522344646023044	0.24144815015183949	0	0	18.630046948356807	93.75610919425641	SYNDIG1;SHANK3
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	2/18	0.007303199171774846	0.24144815015183949	0	0	17.464788732394368	85.91702890574375	TGFBR3;SOSTDC1
cytokine activity (GO:0005125)	5/173	0.00837675263818182	0.24144815015183949	0	0	4.2154847550531	20.159691468261933	IL1A;IL33;CXCL11;WNT3A;IL16
semaphorin receptor binding (GO:0030215)	2/23	0.01179625079604133	0.24144815015183949	0	0	13.303152246814218	59.06564380345006	SEMA5A;SEMA3G
transforming growth factor beta binding (GO:0050431)	2/24	0.012808444912197204	0.24144815015183949	0	0	12.697823303457106	55.33267691589696	TGFBR3;CD36
chemorepellent activity (GO:0045499)	2/25	0.013857139668764335	0.24144815015183949	0	0	12.14513165952235	51.96846794915384	SEMA5A;SEMA3G
metal ion transmembrane transporter activity (GO:0046873)	2/27	0.016061755469987723	0.24144815015183949	0	0	11.172394366197183	46.15667226914974	AQP1;SLC8A2
receptor ligand activity (GO:0048018)	6/307	0.023900862267908	0.24144815015183949	0	0	2.8246424960277334	10.546765234779155	SEMA5A;IL1A;IL33;WNT3A;SEMA3G;IL16
steroid hydroxylase activity (GO:0008395)	2/36	0.027643045162137104	0.24144815015183949	0	0	8.211267605633802	29.46515759690419	CH25H;CYP2D6
protein serine/threonine kinase activator activity (GO:0043539)	2/37	0.029086989356807046	0.24144815015183949	0	0	7.97625754527163	28.21572636126222	FAM20A;CDK5R2
alpha-2A adrenergic receptor binding (GO:0031694)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	UCHL1
syndecan binding (GO:0045545)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	SEMA5A
troponin I binding (GO:0031013)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	TNNT2
collagen binding involved in cell-matrix adhesion (GO:0098639)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	ITGA10
complement component C3b binding (GO:0001851)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	VSIG4
CXCR3 chemokine receptor binding (GO:0048248)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	CXCL11
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen (GO:0016714)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	TH
polyol transmembrane transporter activity (GO:0015166)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	AQP1
pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)	1/5	0.03548861536845943	0.24144815015183949	0	0	34.70629370629371	115.86846528512848	PDK4
copper ion binding (GO:0005507)	2/45	0.041661652688019093	0.24144815015183949	0	0	6.489682279724861	20.625340612893016	IL1A;SOD3
alkaline phosphatase activity (GO:0004035)	1/6	0.042434814389666786	0.24144815015183949	0	0	27.763636363636362	87.72715392092086	CILP2
apolipoprotein receptor binding (GO:0034190)	1/6	0.042434814389666786	0.24144815015183949	0	0	27.763636363636362	87.72715392092086	ABCA12
BMP receptor activity (GO:0098821)	1/6	0.042434814389666786	0.24144815015183949	0	0	27.763636363636362	87.72715392092086	SOSTDC1
calcium:cation antiporter activity (GO:0015368)	1/6	0.042434814389666786	0.24144815015183949	0	0	27.763636363636362	87.72715392092086	SLC8A2
cation:cation antiporter activity (GO:0015491)	1/6	0.042434814389666786	0.24144815015183949	0	0	27.763636363636362	87.72715392092086	SLC8A2
chitinase activity (GO:0004568)	1/6	0.042434814389666786	0.24144815015183949	0	0	27.763636363636362	87.72715392092086	CHIT1
collagen receptor activity (GO:0038064)	1/6	0.042434814389666786	0.24144815015183949	0	0	27.763636363636362	87.72715392092086	OSCAR
channel activity (GO:0015267)	2/46	0.043354247348658594	0.24144815015183949	0	0	6.341869398207426	19.903009646845117	CHRNA1;AQP1
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	PIK3C2G
interleukin-6 receptor binding (GO:0005138)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	IL6R
intracellular cGMP-activated cation channel activity (GO:0005223)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	AQP1
long-chain fatty acid binding (GO:0036041)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	FABP4
cell-matrix adhesion mediator activity (GO:0098634)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	ITGA10
oxidoreductase activity, acting on metal ions, oxygen as acceptor (GO:0016724)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	HEPHL1
ferroxidase activity (GO:0004322)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	HEPHL1
glucose:sodium symporter activity (GO:0005412)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	SLC5A9
glycerol transmembrane transporter activity (GO:0015168)	1/7	0.04933133513066033	0.24144815015183949	0	0	23.135198135198134	69.6183410331835	AQP1
calcium-dependent phospholipid binding (GO:0005544)	2/50	0.05037319219466424	0.24144815015183949	0	0	5.812206572769953	17.368594502988177	PLA2G4F;CPNE4
inorganic cation transmembrane transporter activity (GO:0022890)	2/51	0.05218787531987497	0.24144815015183949	0	0	5.6933026731819485	16.811782412026876	RHCG;AQP1
solute:cation antiporter activity (GO:0015298)	1/8	0.05617852998582404	0.24144815015183949	0	0	19.829170829170828	57.0925576041236	SLC8A2
type II transforming growth factor beta receptor binding (GO:0005114)	1/8	0.05617852998582404	0.24144815015183949	0	0	19.829170829170828	57.0925576041236	TGFBR3
CD4 receptor binding (GO:0042609)	1/8	0.05617852998582404	0.24144815015183949	0	0	19.829170829170828	57.0925576041236	IL16
ciliary neurotrophic factor receptor activity (GO:0004897)	1/8	0.05617852998582404	0.24144815015183949	0	0	19.829170829170828	57.0925576041236	IL6R
cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	1/8	0.05617852998582404	0.24144815015183949	0	0	19.829170829170828	57.0925576041236	CDK5R2
metalloexopeptidase activity (GO:0008235)	2/55	0.059673596856796636	0.2511263867723525	0	0	5.2625564709008765	14.834439509742873	ANPEP;CPXM1
natural killer cell lectin-like receptor binding (GO:0046703)	1/9	0.06297674899709044	0.2573064140631013	0	0	17.34965034965035	47.97160424211999	MICB
1-phosphatidylinositol-3-kinase activity (GO:0016303)	1/10	0.06972633982778743	0.2573064140631013	0	0	15.421134421134422	41.069212505400955	PIK3C2G
ionotropic glutamate receptor binding (GO:0035255)	1/10	0.06972633982778743	0.2573064140631013	0	0	15.421134421134422	41.069212505400955	SHANK3
calcium:sodium antiporter activity (GO:0005432)	1/10	0.06972633982778743	0.2573064140631013	0	0	15.421134421134422	41.069212505400955	SLC8A2
G protein-coupled purinergic nucleotide receptor activity (GO:0045028)	1/10	0.06972633982778743	0.2573064140631013	0	0	15.421134421134422	41.069212505400955	P2RY1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)	1/11	0.07642764774151524	0.2573064140631013	0	0	13.878321678321678	35.68686578929854	ARG2
acetylcholine-gated cation-selective channel activity (GO:0022848)	1/11	0.07642764774151524	0.2573064140631013	0	0	13.878321678321678	35.68686578929854	CHRNA1
