Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Camptodactyly of finger (HP:0100490)	5/121	0.0018379550854178914	0.36998166254756176	0	0	6.1213098486727855	38.55875322507864	CHRNA1;TUBB3;SMOC1;COL11A2;L1CAM
Malignant hyperthermia (HP:0002047)	2/17	0.006522344646023044	0.36998166254756176	0	0	18.630046948356807	93.75610919425641	CHRNA1;ABCA12
Diminished movement (HP:0002374)	2/19	0.008124111152401935	0.36998166254756176	0	0	16.43661971830986	79.10811857172071	CHRNA1;TH
Prolonged bleeding time (HP:0003010)	2/21	0.009883677815701666	0.36998166254756176	0	0	14.704966641957006	67.890927985844	VWF;CD36
Intellectual disability, moderate (HP:0002342)	2/22	0.01082113406862944	0.36998166254756176	0	0	13.969014084507043	63.227308653074246	TUBB3;SHANK3
Synostosis of carpal bones (HP:0005048)	2/22	0.01082113406862944	0.36998166254756176	0	0	13.969014084507043	63.227308653074246	SMOC1;COL11A2
Vertebral fusion (HP:0002948)	2/29	0.018405608793970886	0.36998166254756176	0	0	10.34376630151278	41.32437904505058	CHRNA1;MEOX1
Depressed nasal ridge (HP:0000457)	3/79	0.019415880850943274	0.36998166254756176	0	0	5.5375139977603585	21.827019282195174	CHRNA1;COL11A2;ABCA12
Carpal synostosis (HP:0009702)	2/30	0.01962837334808242	0.36998166254756176	0	0	9.9738430583501	39.20497423677295	SMOC1;COL11A2
Bulbous nose (HP:0000414)	2/31	0.020884307912838993	0.36998166254756176	0	0	9.629431762991743	37.253933653561546	COL11A2;SHANK3
Synostosis involving bones of the hand (HP:0004278)	2/35	0.02622915396032546	0.36998166254756176	0	0	8.46052069995732	30.803772250788512	SMOC1;COL11A2
Sprengel anomaly (HP:0000912)	2/36	0.027643045162137104	0.36998166254756176	0	0	8.211267605633802	29.46515759690419	COL11A2;MEOX1
Ventricular septal defect (HP:0001629)	4/176	0.03856723930802447	0.36998166254756176	0	0	3.269767441860465	10.644244260863436	COL11A2;GATA3;MEOX1;SHANK3
Webbed neck (HP:0000465)	2/47	0.045072142551866215	0.36998166254756176	0	0	6.200625978090767	19.218783824983696	CHRNA1;MEOX1
Round face (HP:0000311)	2/49	0.04858205388330461	0.36998166254756176	0	0	5.9361702127659575	17.953953207286375	SEMA5A;COL11A2
Sepsis (HP:0100806)	2/50	0.05037319219466424	0.36998166254756176	0	0	5.812206572769953	17.368594502988177	ABCA12;L1CAM
Hypohidrosis (HP:0000966)	2/50	0.05037319219466424	0.36998166254756176	0	0	5.812206572769953	17.368594502988177	ABCA12;SHANK3
Muscular hypotonia of the trunk (HP:0008936)	2/53	0.05588617456707959	0.36998166254756176	0	0	5.469483568075117	15.776387632243749	TH;TUBB3
Wrist flexion contracture (HP:0001239)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	TUBB3
Retinal atrophy (HP:0001105)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	MERTK
Aplasia of the musculature (HP:0100854)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	CHRNA1
Septate vagina (HP:0001153)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	GATA3
Hypoplastic ischia (HP:0003175)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	COL11A2
Oligodactyly (hands) (HP:0001180)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	SMOC1
Fetal akinesia sequence (HP:0001989)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	CHRNA1
Popliteal pterygium (HP:0009756)	1/8	0.05617852998582404	0.36998166254756176	0	0	19.829170829170828	57.0925576041236	CHRNA1
Short palm (HP:0004279)	2/54	0.05776895201515079	0.36998166254756176	0	0	5.3640303358613215	15.294480133569229	SEMA5A;COL11A2
Thick eyebrow (HP:0000574)	2/56	0.061599701615925255	0.36998166254756176	0	0	5.164840897235264	14.39491903835905	FAM20A;SHANK3
Rigidity (HP:0002063)	2/56	0.061599701615925255	0.36998166254756176	0	0	5.164840897235264	14.39491903835905	TH;ABCA12
Aplasia/Hypoplasia of the pubic bone (HP:0009104)	1/9	0.06297674899709044	0.36998166254756176	0	0	17.34965034965035	47.97160424211999	COL11A2
Parkinsonism with favorable response to dopaminergic medication (HP:0002548)	1/9	0.06297674899709044	0.36998166254756176	0	0	17.34965034965035	47.97160424211999	TH
Abnormality of placental membranes (HP:0011409)	1/9	0.06297674899709044	0.36998166254756176	0	0	17.34965034965035	47.97160424211999	CHRNA1
Abnormality of the ischium (HP:0003174)	1/9	0.06297674899709044	0.36998166254756176	0	0	17.34965034965035	47.97160424211999	COL11A2
Amniotic constriction ring (HP:0009775)	1/9	0.06297674899709044	0.36998166254756176	0	0	17.34965034965035	47.97160424211999	CHRNA1
Myokymia (HP:0002411)	1/9	0.06297674899709044	0.36998166254756176	0	0	17.34965034965035	47.97160424211999	UCHL1
Delayed CNS myelination (HP:0002188)	1/9	0.06297674899709044	0.36998166254756176	0	0	17.34965034965035	47.97160424211999	SHANK3
Bell-shaped thorax (HP:0001591)	1/10	0.06972633982778743	0.36998166254756176	0	0	15.421134421134422	41.069212505400955	COL11A2
Abnormality of the corticospinal tract (HP:0002492)	1/10	0.06972633982778743	0.36998166254756176	0	0	15.421134421134422	41.069212505400955	L1CAM
Enlarged epiphyses (HP:0010580)	1/10	0.06972633982778743	0.36998166254756176	0	0	15.421134421134422	41.069212505400955	COL11A2
Limb dystonia (HP:0002451)	1/10	0.06972633982778743	0.36998166254756176	0	0	15.421134421134422	41.069212505400955	TH
Akinesia (HP:0002304)	1/10	0.06972633982778743	0.36998166254756176	0	0	15.421134421134422	41.069212505400955	CHRNA1
Aqueductal stenosis (HP:0002410)	1/10	0.06972633982778743	0.36998166254756176	0	0	15.421134421134422	41.069212505400955	L1CAM
Type 2 muscle fiber atrophy (HP:0003554)	1/10	0.06972633982778743	0.36998166254756176	0	0	15.421134421134422	41.069212505400955	CHRNA1
Oligodactyly (HP:0012165)	1/11	0.07642764774151524	0.36998166254756176	0	0	13.878321678321678	35.68686578929854	SMOC1
Muscle fiber atrophy (HP:0100295)	1/11	0.07642764774151524	0.36998166254756176	0	0	13.878321678321678	35.68686578929854	CHRNA1
Hypokinesia (HP:0002375)	1/11	0.07642764774151524	0.36998166254756176	0	0	13.878321678321678	35.68686578929854	TH
Aplasia/Hypoplasia of the capital femoral epiphysis (HP:0005003)	1/11	0.07642764774151524	0.36998166254756176	0	0	13.878321678321678	35.68686578929854	COL11A2
Abnormality of nail color (HP:0100643)	1/11	0.07642764774151524	0.36998166254756176	0	0	13.878321678321678	35.68686578929854	ABCA12
Joint hemorrhage (HP:0005261)	1/11	0.07642764774151524	0.36998166254756176	0	0	13.878321678321678	35.68686578929854	VWF
Holoprosencephaly (HP:0001360)	2/65	0.07983537880071856	0.36998166254756176	0	0	4.424994410909904	11.185450114586402	SMOC1;L1CAM
Fused cervical vertebrae (HP:0002949)	1/12	0.08308101560487012	0.36998166254756176	0	0	12.616020343293071	31.387889738679515	MEOX1
Short chin (HP:0000331)	1/12	0.08308101560487012	0.36998166254756176	0	0	12.616020343293071	31.387889738679515	SHANK3
Absent epiphyses (HP:0010577)	1/12	0.08308101560487012	0.36998166254756176	0	0	12.616020343293071	31.387889738679515	COL11A2
Hemiplegia (HP:0002301)	1/12	0.08308101560487012	0.36998166254756176	0	0	12.616020343293071	31.387889738679515	SLC1A3
Partial agenesis of the corpus callosum (HP:0001338)	1/12	0.08308101560487012	0.36998166254756176	0	0	12.616020343293071	31.387889738679515	L1CAM
Abnormality of the 4th metacarpal (HP:0010012)	1/12	0.08308101560487012	0.36998166254756176	0	0	12.616020343293071	31.387889738679515	SMOC1
Variable expressivity (HP:0003828)	3/144	0.0858594068923509	0.36998166254756176	0	0	2.9749509582012976	7.303635869285325	CHRNA1;TH;VWF
Vesicoureteral reflux (HP:0000076)	2/68	0.0862447392191091	0.36998166254756176	0	0	4.223218096457533	10.349275604725992	GATA3;SHANK3
Aplasia/Hypoplasia involving the musculature (HP:0001460)	1/13	0.08968678389130744	0.36998166254756176	0	0	11.564102564102564	27.886045327020618	CHRNA1
Vertebral clefting (HP:0008428)	1/13	0.08968678389130744	0.36998166254756176	0	0	11.564102564102564	27.886045327020618	COL11A2
Fibular hypoplasia (HP:0003038)	1/13	0.08968678389130744	0.36998166254756176	0	0	11.564102564102564	27.886045327020618	SMOC1
Myotonia (HP:0002486)	1/13	0.08968678389130744	0.36998166254756176	0	0	11.564102564102564	27.886045327020618	UCHL1
Fatigable weakness (HP:0003473)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	CHRNA1
Epiphyseal dysplasia (HP:0002656)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	COL11A2
Hemiparesis (HP:0001269)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	SLC1A3
Abnormality of the intrinsic pathway (HP:0010989)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	VWF
Overgrowth (HP:0001548)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	FAM20A
Amelogenesis imperfecta (HP:0000705)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	FAM20A
Amblyopia (HP:0000646)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	TUBB3
Abnormality of the neuromuscular junction (HP:0003398)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	CHRNA1
Increased mean platelet volume (HP:0011877)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	CD36
Sudden death (HP:0001699)	1/14	0.0962452906927208	0.36998166254756176	0	0	10.674018289402905	24.9863315899439	TNNT2
Long philtrum (HP:0000343)	3/152	0.0971010499693814	0.36998166254756176	0	0	2.814079680137084	6.5624425108928035	CHRNA1;COL11A2;SHANK3
Ptosis (HP:0000508)	5/338	0.09768061063561226	0.36998166254756176	0	0	2.108907468619699	4.905428852362664	CHRNA1;TH;TUBB3;GATA3;SHANK3
Glossoptosis (HP:0000162)	1/15	0.10275687174219132	0.36998166254756176	0	0	9.91108891108891	22.55158813317602	COL11A2
Abnormality of the pubic bones (HP:0003172)	1/15	0.10275687174219132	0.36998166254756176	0	0	9.91108891108891	22.55158813317602	COL11A2
Polygenic inheritance (HP:0010982)	1/15	0.10275687174219132	0.36998166254756176	0	0	9.91108891108891	22.55158813317602	SHANK3
Poor suck (HP:0002033)	1/15	0.10275687174219132	0.36998166254756176	0	0	9.91108891108891	22.55158813317602	CHRNA1
Abnormal platelet volume (HP:0011876)	1/15	0.10275687174219132	0.36998166254756176	0	0	9.91108891108891	22.55158813317602	CD36
Cortical visual impairment (HP:0100704)	1/16	0.10922186039672545	0.36998166254756176	0	0	9.24988344988345	20.482701866982715	SHANK3
Weak cry (HP:0001612)	1/16	0.10922186039672545	0.36998166254756176	0	0	9.24988344988345	20.482701866982715	CHRNA1
Mixed hearing impairment (HP:0000410)	1/16	0.10922186039672545	0.36998166254756176	0	0	9.24988344988345	20.482701866982715	COL11A2
