Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
indolalkylamine catabolic process (GO:0046218)	3/10	3.51834986072042E-6	9.621562484607389E-4	0	0	142.35714285714286	1787.652450457297	IL4I1;KYNU;KMO
tryptophan catabolic process (GO:0006569)	3/11	4.826870811675947E-6	9.621562484607389E-4	0	0	124.55625	1524.7319383931965	IL4I1;KYNU;KMO
tryptophan metabolic process (GO:0006568)	3/11	4.826870811675947E-6	9.621562484607389E-4	0	0	124.55625	1524.7319383931965	IL4I1;KYNU;KMO
aromatic amino acid family catabolic process (GO:0009074)	3/16	1.619902563600937E-5	0.002421754332583401	0	0	76.63076923076923	845.2802567306903	IL4I1;KYNU;KMO
extracellular matrix disassembly (GO:0022617)	4/66	5.564793451130691E-5	0.0055462441396269225	0	0	21.73318753417168	212.90842398364933	MMP7;LCP1;MMP8;MMP9
cellular component disassembly (GO:0022411)	4/66	5.564793451130691E-5	0.0055462441396269225	0	0	21.73318753417168	212.90842398364933	MMP7;LCP1;MMP8;MMP9
alpha-amino acid catabolic process (GO:1901606)	3/30	1.1380645743939195E-4	0.00972232307839377	0	0	36.870370370370374	334.8202497519519	IL4I1;KYNU;KMO
endodermal cell differentiation (GO:0035987)	3/32	1.384115902226272E-4	0.010346266369141382	0	0	34.324137931034485	304.9795341911713	ITGB2;MMP8;MMP9
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	3/34	1.662389016263379E-4	0.011045651463616675	0	0	32.10645161290323	279.39305935464057	EPGN;PDE6G;MMP9
endoderm formation (GO:0001706)	3/36	1.9746492928965996E-4	0.011808402771521665	0	0	30.157575757575756	257.24260014265093	ITGB2;MMP8;MMP9
benzene-containing compound metabolic process (GO:0042537)	2/8	2.7010736180115496E-4	0.014684018396099152	0	0	108.91256830601093	894.9009243287231	KYNU;KMO
kynurenine metabolic process (GO:0070189)	2/9	3.4657626098223997E-4	0.016520504644183115	0	0	93.34894613583138	743.7491098150941	KYNU;KMO
extracellular matrix organization (GO:0030198)	6/300	3.5914140530832856E-4	0.016520504644183115	0	0	7.0329394915861085	55.78382979623013	MMP7;ITGB2;LCP1;MMP8;NPNT;MMP9
aromatic amino acid family metabolic process (GO:0009072)	2/10	4.323414002614042E-4	0.01846715409687998	0	0	81.67622950819673	632.6881685393935	IL4I1;KYNU
regulation of inflammatory response (GO:0050727)	5/206	4.7796232477295437E-4	0.01905476468094845	0	0	8.4645736833076	64.71994963891555	TNIP1;SAA1;MMP8;MMP9;PLA2G7
extracellular structure organization (GO:0043062)	5/216	5.927531635792746E-4	0.021291485657649968	0	0	8.059323418859291	59.886676423571444	MMP7;ITGB2;MMP8;NPNT;MMP9
external encapsulating structure organization (GO:0045229)	5/217	6.05276348127173E-4	0.021291485657649968	0	0	8.020901106050749	59.433476990810675	MMP7;ITGB2;MMP8;NPNT;MMP9
positive regulation of regulatory T cell differentiation (GO:0045591)	2/14	8.672192285085808E-4	0.028810949924896183	0	0	54.439890710382514	383.81313847540514	IL4I1;HLA-DRA
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	3/67	0.0012359816413555224	0.038575147116891556	0	0	15.52578125	103.95891989482092	EPGN;PDE6G;MMP9
