Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
tertiary granule (GO:0070820)	4/164	0.0017821767014156158	0.1568315497245742	0	0	8.380084745762712	53.04526432273442	ITGB2;PTAFR;MMP8;MMP9
tertiary granule lumen (GO:1904724)	2/55	0.013026542071179616	0.29706052945323536	0	0	12.300649551500154	53.394245104854484	MMP8;MMP9
endocytic vesicle membrane (GO:0030666)	3/158	0.013591299084543422	0.29706052945323536	0	0	6.381290322580645	27.42886268785891	EPGN;HLA-DRA;ATP6V0D2
clathrin-coated endocytic vesicle membrane (GO:0030669)	2/69	0.020008657055500954	0.29706052945323536	0	0	9.72351357964277	38.03440087796273	EPGN;HLA-DRA
low-density lipoprotein particle (GO:0034362)	1/7	0.021845805503197258	0.29706052945323536	0	0	53.57795698924731	204.86851713978822	PLA2G7
tertiary granule membrane (GO:0070821)	2/73	0.022234793704465437	0.29706052945323536	0	0	9.173862849226506	34.91661125444899	ITGB2;PTAFR
clathrin-coated endocytic vesicle (GO:0045334)	2/85	0.029488227319513123	0.29706052945323536	0	0	7.842780959905195	27.636110533416407	EPGN;HLA-DRA
collagen-containing extracellular matrix (GO:0062023)	4/380	0.03177764604581812	0.29706052945323536	0	0	3.5270465200144248	12.164755904535719	ANGPTL4;MMP8;NPNT;MMP9
clathrin-coated vesicle membrane (GO:0030665)	2/90	0.03275267989945627	0.29706052945323536	0	0	7.3953055141579735	25.282852265638294	EPGN;HLA-DRA
MHC class II protein complex (GO:0042613)	1/13	0.04019653222373102	0.29706052945323536	0	0	26.780913978494624	86.07317595715509	HLA-DRA
podosome (GO:0002102)	1/13	0.04019653222373102	0.29706052945323536	0	0	26.780913978494624	86.07317595715509	LCP1
acetylcholine-gated channel complex (GO:0005892)	1/14	0.043221871427467695	0.29706052945323536	0	0	24.719602977667495	77.65437409472437	CHRNA1
proton-transporting V-type ATPase complex (GO:0033176)	1/15	0.04623782587518898	0.29706052945323536	0	0	22.952764976958527	70.5558142686329	ATP6V0D2
lytic vacuole membrane (GO:0098852)	3/267	0.052033595681955036	0.29706052945323536	0	0	3.72594696969697	11.013398841068486	LAPTM5;HLA-DRA;ATP6V0D2
high-density lipoprotein particle (GO:0034364)	1/19	0.058208366956890085	0.29706052945323536	0	0	17.84856630824373	50.75643515113452	PLA2G7
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	1/19	0.058208366956890085	0.29706052945323536	0	0	17.84856630824373	50.75643515113452	ATP6V0D2
mitochondrial outer membrane (GO:0005741)	2/126	0.05995500836461341	0.29706052945323536	0	0	5.238762559492332	14.742720542610497	BCL2A1;KMO
MHC protein complex (GO:0042611)	1/20	0.0611778250716139	0.29706052945323536	0	0	16.908319185059423	47.24134484792992	HLA-DRA
endocytic vesicle lumen (GO:0071682)	1/21	0.06413806885922127	0.29706052945323536	0	0	16.06209677419355	44.118037371464524	SAA1
integral component of endoplasmic reticulum membrane (GO:0030176)	2/142	0.07384646775154079	0.3094518648635995	0	0	4.636299765807962	12.081117400991317	HSD11B1;HLA-DRA
organelle outer membrane (GO:0031968)	2/142	0.07384646775154079	0.3094518648635995	0	0	4.636299765807962	12.081117400991317	BCL2A1;KMO
lumenal side of endoplasmic reticulum membrane (GO:0098553)	1/28	0.08460412524523665	0.3148846925479581	0	0	11.893667861409797	29.37465085617291	HLA-DRA
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	1/28	0.08460412524523665	0.3148846925479581	0	0	11.893667861409797	29.37465085617291	HLA-DRA
lysosomal membrane (GO:0005765)	3/330	0.08587764342217039	0.3148846925479581	0	0	2.9984709480122325	7.360741674752185	LAPTM5;HLA-DRA;ATP6V0D2
specific granule (GO:0042581)	2/160	0.09056607762895182	0.3187925932539104	0	0	4.104378501763851	9.857385516777757	ITGB2;MMP8
ion channel complex (GO:0034702)	1/35	0.10462957154754433	0.35059459713081076	0	0	9.441650853889943	21.31291281406773	CHRNA1
neuromuscular junction (GO:0031594)	1/38	0.11307934509540729	0.35059459713081076	0	0	8.674803836094158	18.908170967748465	CHRNA1
ficolin-1-rich granule (GO:0101002)	2/184	0.11437360143763574	0.35059459713081076	0	0	3.5588182309493783	7.71653212856458	ITGB2;MMP9
cytoplasmic vesicle membrane (GO:0030659)	3/380	0.11789855496052773	0.35059459713081076	0	0	2.594164456233422	5.546143904461648	PTAFR;HLA-DRA;ATP6V0D2
endocytic vesicle (GO:0030139)	2/189	0.11952088538550368	0.35059459713081076	0	0	3.462786008591216	7.355872176414121	SAA1;HLA-DRA
intracellular organelle lumen (GO:0070013)	5/848	0.1282383693082371	0.3533106461514322	0	0	1.9525913199983638	4.010357969180784	STC2;SAA1;MMP8;MMP9;FSTL3
phagocytic vesicle membrane (GO:0030670)	1/45	0.13249149230678708	0.3533106461514322	0	0	7.292155425219941	14.739173222170054	ATP6V0D2
vacuolar membrane (GO:0005774)	1/45	0.13249149230678708	0.3533106461514322	0	0	7.292155425219941	14.739173222170054	ATP6V0D2
acrosomal vesicle (GO:0001669)	1/48	0.14068241867365208	0.3558228553797998	0	0	6.82566918325326	13.386845588592887	IL4I1
sarcolemma (GO:0042383)	1/52	0.15148536303530605	0.3558228553797998	0	0	6.289057558507274	11.869126214903106	POPDC3
lytic vacuole (GO:0000323)	2/219	0.151510196204377	0.3558228553797998	0	0	2.979527083175946	5.622672574310363	LAPTM5;HLA-DRA
ER to Golgi transport vesicle membrane (GO:0012507)	1/54	0.15683660288249493	0.3558228553797998	0	0	6.051125989044431	11.21001805928369	HLA-DRA
coated vesicle membrane (GO:0030662)	1/55	0.1594997542108036	0.3558228553797998	0	0	5.938769414575866	10.901875611138864	HLA-DRA
extracellular membrane-bounded organelle (GO:0065010)	1/56	0.16215462700318278	0.3558228553797998	0	0	5.83049853372434	10.606871567934107	ITGB2
filopodium (GO:0030175)	1/58	0.16743963828587355	0.3558228553797998	0	0	5.625353706847765	10.053251652185772	LCP1
extracellular vesicle (GO:1903561)	1/59	0.1700698271705011	0.3558228553797998	0	0	5.528086763070078	9.7932609778969	ITGB2
transport vesicle membrane (GO:0030658)	1/60	0.1726918383694235	0.3558228553797998	0	0	5.434117003827228	9.543649261752435	HLA-DRA
ficolin-1-rich granule membrane (GO:0101003)	1/61	0.1753056968882167	0.3558228553797998	0	0	5.3432795698924735	9.303846570486355	ITGB2
specific granule lumen (GO:0035580)	1/62	0.1779114276898999	0.3558228553797998	0	0	5.255420412480169	9.07332278789932	MMP8
lysosome (GO:0005764)	3/477	0.190051322225375	0.356319179154215	0	0	2.0530590717299577	3.4090247786483037	LAPTM5;HLA-DRA;ATP6V0D2
polymeric cytoskeletal fiber (GO:0099513)	2/256	0.19293481539165497	0.356319179154215	0	0	2.540725442106622	4.180516988213854	KIFC1;LCP1
late endosome membrane (GO:0031902)	1/68	0.19337651724740682	0.356319179154215	0	0	4.783341357727491	7.859585311378846	HLA-DRA
glutamatergic synapse (GO:0098978)	1/69	0.19592604597187427	0.356319179154215	0	0	4.712760910815939	7.681885149311177	ADGRA1
actin filament (GO:0005884)	1/72	0.20352714379772302	0.356319179154215	0	0	4.512948659700136	7.184415237259634	LCP1
voltage-gated potassium channel complex (GO:0008076)	1/73	0.2060450943207102	0.356319179154215	0	0	4.450044802867383	7.029558795380116	KCNJ16
