Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
metalloendopeptidase activity (GO:0004222)	3/82	0.0022095967860297277	0.15667019927078876	0	0	12.568354430379747	76.85479897122487	MMP7;MMP8;MMP9
metallopeptidase activity (GO:0008237)	3/121	0.006587405020794502	0.15667019927078876	0	0	8.397881355932203	42.17916348707894	MMP7;MMP8;MMP9
complement component C3b binding (GO:0001851)	1/5	0.01565251000400841	0.15667019927078876	0	0	80.375	334.1288407937727	ITGB2
alpha-2A adrenergic receptor binding (GO:0031694)	1/5	0.01565251000400841	0.15667019927078876	0	0	80.375	334.1288407937727	UCHL1
L-lactate dehydrogenase activity (GO:0004459)	1/5	0.01565251000400841	0.15667019927078876	0	0	80.375	334.1288407937727	LDHC
endopeptidase activity (GO:0004175)	4/315	0.017375237176878208	0.15667019927078876	0	0	4.278380293203989	17.33903133433673	UCHL1;MMP7;MMP8;MMP9
lactate dehydrogenase activity (GO:0004457)	1/6	0.018753965791591908	0.15667019927078876	0	0	64.29677419354839	255.6664806393233	LDHC
fructose binding (GO:0070061)	1/6	0.018753965791591908	0.15667019927078876	0	0	64.29677419354839	255.6664806393233	ALDOB
1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847)	1/7	0.021845805503197258	0.15667019927078876	0	0	53.57795698924731	204.86851713978822	PLA2G7
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005)	1/7	0.021845805503197258	0.15667019927078876	0	0	53.57795698924731	204.86851713978822	PIK3C2G
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity (GO:0008467)	1/7	0.021845805503197258	0.15667019927078876	0	0	53.57795698924731	204.86851713978822	HS3ST2
alcohol dehydrogenase activity, zinc-dependent (GO:0004024)	1/7	0.021845805503197258	0.15667019927078876	0	0	53.57795698924731	204.86851713978822	ADH1A
NAD(P)H oxidase H2O2-forming activity (GO:0016174)	1/7	0.021845805503197258	0.15667019927078876	0	0	53.57795698924731	204.86851713978822	KMO
aldehyde-lyase activity (GO:0016832)	1/8	0.02492805820599394	0.15667019927078876	0	0	45.92165898617512	169.5318022982446	ALDOB
calcium-independent phospholipase A2 activity (GO:0047499)	1/8	0.02492805820599394	0.15667019927078876	0	0	45.92165898617512	169.5318022982446	PLA2G7
ligand-gated cation channel activity (GO:0099094)	2/80	0.026363842896792188	0.15667019927078876	0	0	8.347625052543085	30.34997624347185	CHRNA1;KCNJ16
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	1/9	0.028000752973758432	0.15667019927078876	0	0	40.17943548387097	143.66253094694912	IL4I1
alcohol dehydrogenase (NAD+) activity (GO:0004022)	1/9	0.028000752973758432	0.15667019927078876	0	0	40.17943548387097	143.66253094694912	ADH1A
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	2/87	0.030777482905733008	0.15667019927078876	0	0	7.6574734811957565	26.655450249324787	LDHC;ADH1A
1-phosphatidylinositol-3-kinase activity (GO:0016303)	1/10	0.031063918820932256	0.15667019927078876	0	0	35.71326164874552	123.9860268803296	PIK3C2G
MHC class II receptor activity (GO:0032395)	1/10	0.031063918820932256	0.15667019927078876	0	0	35.71326164874552	123.9860268803296	HLA-DRA
G protein-coupled purinergic nucleotide receptor activity (GO:0045028)	1/10	0.031063918820932256	0.15667019927078876	0	0	35.71326164874552	123.9860268803296	PTAFR
ubiquitination-like modification-dependent protein binding (GO:0140035)	1/10	0.031063918820932256	0.15667019927078876	0	0	35.71326164874552	123.9860268803296	LAPTM5
acetylcholine-gated cation-selective channel activity (GO:0022848)	1/11	0.03411758472221407	0.15830559311107328	0	0	32.14032258064516	108.56815667877291	CHRNA1
ubiquitin-dependent protein binding (GO:0140036)	1/11	0.03411758472221407	0.15830559311107328	0	0	32.14032258064516	108.56815667877291	LAPTM5
phosphatidylinositol 3-kinase activity (GO:0035004)	1/12	0.03716177957627267	0.1594746473584328	0	0	29.21700879765396	96.19625574937483	PIK3C2G
cAMP binding (GO:0030552)	1/12	0.03716177957627267	0.1594746473584328	0	0	29.21700879765396	96.19625574937483	POPDC3
