Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vertebral fusion (HP:0002948)	2/29	0.0037532853984301976	0.1499843453368599	0	0	24.177292046144505	135.03316720304664	CHRNA1;MEOX1
Webbed neck (HP:0000465)	2/47	0.00963661477963361	0.1499843453368599	0	0	14.493260473588343	67.28040211048973	CHRNA1;MEOX1
Insidious onset (HP:0003587)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	MPZ
Aplasia of the musculature (HP:0100854)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	CHRNA1
Spinal muscular atrophy (HP:0007269)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	SMN1
Peripheral hypomyelination (HP:0007182)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	MPZ
Abnormality of the anterior horn cell (HP:0006802)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	SMN1
Ulnar claw (HP:0001178)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	MPZ
Upper limb muscle weakness (HP:0003484)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	MPZ
Degeneration of anterior horn cells (HP:0002398)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	SMN1
Termporal pattern (HP:0011008)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	MPZ
Popliteal pterygium (HP:0009756)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	CHRNA1
Fetal akinesia sequence (HP:0001989)	1/8	0.02492805820599394	0.1499843453368599	0	0	45.92165898617512	169.5318022982446	CHRNA1
Malnutrition (HP:0004395)	1/9	0.028000752973758432	0.1499843453368599	0	0	40.17943548387097	143.66253094694912	ALDOB
Action tremor (HP:0002345)	1/9	0.028000752973758432	0.1499843453368599	0	0	40.17943548387097	143.66253094694912	MPZ
Abnormality of placental membranes (HP:0011409)	1/9	0.028000752973758432	0.1499843453368599	0	0	40.17943548387097	143.66253094694912	CHRNA1
Myokymia (HP:0002411)	1/9	0.028000752973758432	0.1499843453368599	0	0	40.17943548387097	143.66253094694912	UCHL1
Abnormal pupillary function (HP:0007686)	1/9	0.028000752973758432	0.1499843453368599	0	0	40.17943548387097	143.66253094694912	MPZ
Amniotic constriction ring (HP:0009775)	1/9	0.028000752973758432	0.1499843453368599	0	0	40.17943548387097	143.66253094694912	CHRNA1
Akinesia (HP:0002304)	1/10	0.031063918820932256	0.1499843453368599	0	0	35.71326164874552	123.9860268803296	CHRNA1
Segmental peripheral demyelination/remyelination (HP:0003481)	1/10	0.031063918820932256	0.1499843453368599	0	0	35.71326164874552	123.9860268803296	MPZ
Type 2 muscle fiber atrophy (HP:0003554)	1/10	0.031063918820932256	0.1499843453368599	0	0	35.71326164874552	123.9860268803296	CHRNA1
Tongue fasciculations (HP:0001308)	1/10	0.031063918820932256	0.1499843453368599	0	0	35.71326164874552	123.9860268803296	SMN1
Recurrent gram-negative bacterial infections (HP:0005420)	1/10	0.031063918820932256	0.1499843453368599	0	0	35.71326164874552	123.9860268803296	ITGB2
Muscle fiber atrophy (HP:0100295)	1/11	0.03411758472221407	0.1499843453368599	0	0	32.14032258064516	108.56815667877291	CHRNA1
Proximal tubulopathy (HP:0000114)	1/11	0.03411758472221407	0.1499843453368599	0	0	32.14032258064516	108.56815667877291	ALDOB
Muscle fibrillation (HP:0010546)	1/11	0.03411758472221407	0.1499843453368599	0	0	32.14032258064516	108.56815667877291	SMN1
Fused cervical vertebrae (HP:0002949)	1/12	0.03716177957627267	0.1499843453368599	0	0	29.21700879765396	96.19625574937483	MEOX1
Nausea (HP:0002018)	1/12	0.03716177957627267	0.1499843453368599	0	0	29.21700879765396	96.19625574937483	ALDOB
Progressive sensorineural hearing impairment (HP:0000408)	1/12	0.03716177957627267	0.1499843453368599	0	0	29.21700879765396	96.19625574937483	MPZ
Slow progression (HP:0003677)	2/98	0.038254707193167106	0.1499843453368599	0	0	6.77629781420765	22.114371089764607	MPZ;SMN1
Aplasia/Hypoplasia involving the musculature (HP:0001460)	1/13	0.04019653222373102	0.1499843453368599	0	0	26.780913978494624	86.07317595715509	CHRNA1
Myotonia (HP:0002486)	1/13	0.04019653222373102	0.1499843453368599	0	0	26.780913978494624	86.07317595715509	UCHL1
Periodontitis (HP:0000704)	1/14	0.043221871427467695	0.1499843453368599	0	0	24.719602977667495	77.65437409472437	ITGB2
Fatigable weakness (HP:0003473)	1/14	0.043221871427467695	0.1499843453368599	0	0	24.719602977667495	77.65437409472437	CHRNA1
Impaired proprioception (HP:0010831)	1/14	0.043221871427467695	0.1499843453368599	0	0	24.719602977667495	77.65437409472437	MPZ
Abnormality of the neuromuscular junction (HP:0003398)	1/14	0.043221871427467695	0.1499843453368599	0	0	24.719602977667495	77.65437409472437	CHRNA1
Areflexia of lower limbs (HP:0002522)	1/15	0.04623782587518898	0.1499843453368599	0	0	22.952764976958527	70.5558142686329	SMN1
Poor suck (HP:0002033)	1/15	0.04623782587518898	0.1499843453368599	0	0	22.952764976958527	70.5558142686329	CHRNA1
Postural tremor (HP:0002174)	1/15	0.04623782587518898	0.1499843453368599	0	0	22.952764976958527	70.5558142686329	MPZ
Hyperuricemia (HP:0002149)	1/16	0.04924442416326195	0.1499843453368599	0	0	21.421505376344086	64.49927724978124	ALDOB
Atrophy/Degeneration involving motor neurons (HP:0007373)	1/16	0.04924442416326195	0.1499843453368599	0	0	21.421505376344086	64.49927724978124	SMN1
Increased purine levels (HP:0004368)	1/16	0.04924442416326195	0.1499843453368599	0	0	21.421505376344086	64.49927724978124	ALDOB
Weak cry (HP:0001612)	1/16	0.04924442416326195	0.1499843453368599	0	0	21.421505376344086	64.49927724978124	CHRNA1
Hypoplastic heart (HP:0001961)	1/16	0.04924442416326195	0.1499843453368599	0	0	21.421505376344086	64.49927724978124	CHRNA1
Increased CSF protein (HP:0002922)	1/17	0.05224169482431419	0.1499843453368599	0	0	20.081653225806452	59.278517093016504	MPZ
Recurrent abscess formation (HP:0002722)	1/17	0.05224169482431419	0.1499843453368599	0	0	20.081653225806452	59.278517093016504	ITGB2
Malignant hyperthermia (HP:0002047)	1/17	0.05224169482431419	0.1499843453368599	0	0	20.081653225806452	59.278517093016504	CHRNA1
Pterygium (HP:0001059)	1/17	0.05224169482431419	0.1499843453368599	0	0	20.081653225806452	59.278517093016504	CHRNA1
Dysphagia (HP:0002015)	2/117	0.05259338575654984	0.1499843453368599	0	0	5.651318602993586	16.644065262954964	CHRNA1;MPZ
Renal tubular acidosis (HP:0001947)	1/18	0.05522966630423428	0.1499843453368599	0	0	18.89943074003795	54.73757147758474	ALDOB
Easy fatigability (HP:0003388)	1/18	0.05522966630423428	0.1499843453368599	0	0	18.89943074003795	54.73757147758474	CHRNA1
Thin ribs (HP:0000883)	1/18	0.05522966630423428	0.1499843453368599	0	0	18.89943074003795	54.73757147758474	CHRNA1
Short femoral neck (HP:0100864)	1/18	0.05522966630423428	0.1499843453368599	0	0	18.89943074003795	54.73757147758474	MMP9
Bulbar palsy (HP:0001283)	1/19	0.058208366956890085	0.1499843453368599	0	0	17.84856630824373	50.75643515113452	CHRNA1
Progressive hearing impairment (HP:0001730)	1/19	0.058208366956890085	0.1499843453368599	0	0	17.84856630824373	50.75643515113452	MPZ
Diminished movement (HP:0002374)	1/19	0.058208366956890085	0.1499843453368599	0	0	17.84856630824373	50.75643515113452	CHRNA1
Metaphyseal irregularity (HP:0003025)	1/19	0.058208366956890085	0.1499843453368599	0	0	17.84856630824373	50.75643515113452	MMP9
Hyperphosphaturia (HP:0003109)	1/20	0.0611778250716139	0.1499843453368599	0	0	16.908319185059423	47.24134484792992	ALDOB
Aplasia/Hypoplasia involving the femoral head and neck (HP:0009108)	1/20	0.0611778250716139	0.1499843453368599	0	0	16.908319185059423	47.24134484792992	MMP9
EMG: neuropathic changes (HP:0003445)	1/20	0.0611778250716139	0.1499843453368599	0	0	16.908319185059423	47.24134484792992	SMN1
Proximal amyotrophy (HP:0007126)	1/20	0.0611778250716139	0.1499843453368599	0	0	16.908319185059423	47.24134484792992	SMN1
Cystic hygroma (HP:0000476)	1/21	0.06413806885922127	0.1523279135406505	0	0	16.06209677419355	44.118037371464524	CHRNA1
Attenuation of retinal blood vessels (HP:0007843)	1/21	0.06413806885922127	0.1523279135406505	0	0	16.06209677419355	44.118037371464524	PDE6G
Gingivitis (HP:0000230)	1/22	0.06708912641607817	0.15311428902729549	0	0	15.296466973886329	41.32697417378087	ITGB2
Steppage gait (HP:0003376)	1/23	0.07003102578942749	0.15311428902729549	0	0	14.600439882697946	38.819896447204	MPZ
Glycosuria (HP:0003076)	1/24	0.07296379491735006	0.15311428902729549	0	0	13.964936886395511	36.55729895706928	ALDOB
Abnormality of purine metabolism (HP:0004352)	1/24	0.07296379491735006	0.15311428902729549	0	0	13.964936886395511	36.55729895706928	ALDOB
Abnormality of urine glucose concentration (HP:0011016)	1/24	0.07296379491735006	0.15311428902729549	0	0	13.964936886395511	36.55729895706928	ALDOB
Abnormal urine phosphate concentration (HP:0012599)	1/24	0.07296379491735006	0.15311428902729549	0	0	13.964936886395511	36.55729895706928	ALDOB
Variable expressivity (HP:0003828)	2/144	0.07565005203979389	0.15311428902729549	0	0	4.570537981990302	11.799470653658451	CHRNA1;MPZ
Onion bulb formation (HP:0003383)	1/25	0.07588746169603855	0.15311428902729549	0	0	13.38239247311828	34.506549888818924	MPZ
Aplasia/hypoplasia of the femur (HP:0005613)	1/25	0.07588746169603855	0.15311428902729549	0	0	13.38239247311828	34.506549888818924	MMP9
Acanthosis nigricans (HP:0000956)	1/25	0.07588746169603855	0.15311428902729549	0	0	13.38239247311828	34.506549888818924	HSD11B1
Abnormalities of placenta or umbilical cord (HP:0001194)	1/25	0.07588746169603855	0.15311428902729549	0	0	13.38239247311828	34.506549888818924	CHRNA1
Progressive disorder (HP:0003676)	2/145	0.07655714451364774	0.15311428902729549	0	0	4.5383468990026365	11.66227094463459	UCHL1;SMN1
Insulin resistance (HP:0000855)	1/26	0.07880205387578099	0.15332784045009715	0	0	12.846451612903225	32.64047260238857	HSD11B1
Abnormality of the motor neurons (HP:0002450)	1/27	0.08170759918722283	0.15332784045009715	0	0	12.351736972704714	30.936262547654483	SMN1
Foot dorsiflexor weakness (HP:0009027)	1/27	0.08170759918722283	0.15332784045009715	0	0	12.351736972704714	30.936262547654483	MPZ
Abnormal neuron morphology (HP:0012757)	1/27	0.08170759918722283	0.15332784045009715	0	0	12.351736972704714	30.936262547654483	SMN1
Hammertoe (HP:0001765)	1/27	0.08170759918722283	0.15332784045009715	0	0	12.351736972704714	30.936262547654483	MPZ
Gowers sign (HP:0003391)	1/28	0.08460412524523665	0.15574130942742126	0	0	11.893667861409797	29.37465085617291	CHRNA1
Abnormality of the foot musculature (HP:0001436)	1/29	0.08749165959132778	0.15574130942742126	0	0	11.46831797235023	27.939251674959397	MPZ
Autosomal recessive inheritance (HP:0000007)	9/1722	0.08943935100271	0.15574130942742126	0	0	1.7731076084841408	4.280626682114467	CHRNA1;UCHL1;PDE6G;MPZ;ITGB2;ALDOB;SMN1;MEOX1;MMP9
Peripheral demyelination (HP:0011096)	1/30	0.09037022967981909	0.15574130942742126	0	0	11.07230255839822	26.616048028452756	MPZ
Generalized muscle weakness (HP:0003324)	1/30	0.09037022967981909	0.15574130942742126	0	0	11.07230255839822	26.616048028452756	CHRNA1
Decreased motor nerve conduction velocity (HP:0003431)	1/30	0.09037022967981909	0.15574130942742126	0	0	11.07230255839822	26.616048028452756	MPZ
Renal tubular dysfunction (HP:0000124)	1/31	0.09323986288089035	0.15574130942742126	0	0	10.702688172043011	25.39298321204175	ALDOB
Ectopic anus (HP:0004397)	1/31	0.09323986288089035	0.15574130942742126	0	0	10.702688172043011	25.39298321204175	MEOX1
Decreased number of peripheral myelinated nerve fibers (HP:0003380)	1/31	0.09323986288089035	0.15574130942742126	0	0	10.702688172043011	25.39298321204175	MPZ
Hypophosphatemia (HP:0002148)	1/31	0.09323986288089035	0.15574130942742126	0	0	10.702688172043011	25.39298321204175	ALDOB
Aplasia/Hypoplasia involving the pelvis (HP:0009103)	1/32	0.09610058650273702	0.1587748820480003	0	0	10.356919875130073	24.259633388516594	MMP9
Fasciculations (HP:0002380)	1/34	0.1017954137512644	0.16460534989566156	0	0	9.728250244379277	22.227011088447156	SMN1
Leukocytosis (HP:0001974)	1/34	0.1017954137512644	0.16460534989566156	0	0	9.728250244379277	22.227011088447156	ITGB2
Abnormality of the pupil (HP:0000615)	1/35	0.10462957154754433	0.16498130380285936	0	0	9.441650853889943	21.31291281406773	MPZ
Abnormality of nucleobase metabolism (HP:0010932)	1/35	0.10462957154754433	0.16498130380285936	0	0	9.441650853889943	21.31291281406773	ALDOB
Ventricular septal defect (HP:0001629)	2/176	0.10626521695590287	0.16498130380285936	0	0	3.7239495006595065	8.348414277207677	SMN1;MEOX1
Hyperbilirubinemia (HP:0002904)	1/36	0.10745492813475709	0.16498130380285936	0	0	9.17142857142857	20.45855706834833	ALDOB
Sprengel anomaly (HP:0000912)	1/36	0.10745492813475709	0.16498130380285936	0	0	9.17142857142857	20.45855706834833	MEOX1
Accelerated skeletal maturation (HP:0005616)	1/39	0.11587845899322212	0.17613525766969762	0	0	8.44609507640068	18.203137324065356	HSD11B1
Short thorax (HP:0010306)	1/43	0.12698823837861237	0.19111101221335722	0	0	7.640168970814132	15.766717271599333	CHRNA1
Precocious puberty (HP:0000826)	1/44	0.12974414640145326	0.19334421816687153	0	0	7.4621155288822205	15.239064221829011	HSD11B1
Dysmetria (HP:0001310)	1/45	0.13249149230678708	0.19552142554011298	0	0	7.292155425219941	14.739173222170054	UCHL1
Respiratory insufficiency due to muscle weakness (HP:0002747)	1/48	0.14068241867365208	0.2056127657537992	0	0	6.82566918325326	13.386845588592887	CHRNA1
Low posterior hairline (HP:0002162)	1/49	0.14339577707005752	0.2075824582347499	0	0	6.683131720430108	12.979622883843673	MEOX1
Pulmonary hypoplasia (HP:0002089)	1/51	0.14879722352081215	0.21336960353927778	0	0	6.4151612903225805	12.2219780695598	CHRNA1
Intestinal malrotation (HP:0002566)	1/53	0.15416514764479222	0.21900095740194783	0	0	6.167803970223325	11.532133445372013	CHRNA1
Congenital diaphragmatic hernia (HP:0000776)	1/55	0.1594997542108036	0.2240682118589435	0	0	5.938769414575866	10.901875611138864	CHRNA1
Optic disc pallor (HP:0000543)	1/56	0.16215462700318278	0.2240682118589435	0	0	5.83049853372434	10.606871567934107	PDE6G
Gait ataxia (HP:0002066)	1/56	0.16215462700318278	0.2240682118589435	0	0	5.83049853372434	10.606871567934107	MPZ
Respiratory failure (HP:0002878)	1/58	0.16743963828587355	0.22928671188696198	0	0	5.625353706847765	10.053251652185772	SMN1
Metabolic acidosis (HP:0001942)	1/61	0.1753056968882167	0.23791487434829411	0	0	5.3432795698924735	9.303846570486355	ALDOB
Distal sensory impairment (HP:0002936)	1/62	0.1779114276898999	0.23931448680411316	0	0	5.255420412480169	9.07332278789932	MPZ
Arthrogryposis multiplex congenita (HP:0002804)	1/65	0.185680101911481	0.24757346921530798	0	0	5.008316532258065	8.432652635397332	CHRNA1
