Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antigen Processing and Presentation Homo sapiens h mhcPathway	2/12	3.6658213136612E-4	0.00659847836459016	0	0	86.70434782608696	685.9430634910701	HLA-DRA;PSMB9
HIV-1 Nef: negative effector of Fas and TNF Homo sapiens h HivnefPathway	2/53	0.0071892883971213396	0.06470359557409205	0	0	16.965899403239558	83.72948041053294	DAXX;LMNB1
Visceral Fat Deposits and the Metabolic Syndrome Homo sapiens h vobesityPathway	1/8	0.019042648937520508	0.07041414657600496	0	0	60.62310030395137	240.13259456270143	HSD11B1
Regulation of transcriptional activity by PML Homo sapiens h pmlPathway	1/11	0.026091741385155156	0.07041414657600496	0	0	42.42978723404255	154.70479323760136	DAXX
Lectin Induced Complement Pathway Homo sapiens h lectinPathway	1/13	0.030763558459397336	0.07041414657600496	0	0	35.354609929078016	123.08440365356886	C2
Lck and Fyn tyrosine kinases in initiation of TCR Activation Homo sapiens h tcraPathway	1/13	0.030763558459397336	0.07041414657600496	0	0	35.354609929078016	123.08440365356886	HLA-DRA
Stress Induction of HSP Regulation Homo sapiens h hsp27Pathway	1/14	0.03309123150218267	0.07041414657600496	0	0	32.633387888707034	111.23047645903023	DAXX
Classical Complement Pathway Homo sapiens h classicPathway	1/15	0.0354134310062899	0.07041414657600496	0	0	30.300911854103344	101.22516915069231	C2
IL 4 signaling pathway Homo sapiens h il4Pathway	1/15	0.0354134310062899	0.07041414657600496	0	0	30.300911854103344	101.22516915069231	HLA-DRA
TNFR1 Signaling Pathway Homo sapiens h tnfr1Pathway	1/17	0.0400414596344939	0.07041414657600496	0	0	26.51063829787234	85.306988915029	LMNB1
The Co-Stimulatory Signal During T-cell Activation Homo sapiens h ctla4Pathway	1/20	0.046942764384003306	0.07041414657600496	0	0	22.32138857782755	68.27724816722397	HLA-DRA
FAS signaling pathway ( CD95 ) Homo sapiens h fasPathway	1/20	0.046942764384003306	0.07041414657600496	0	0	22.32138857782755	68.27724816722397	DAXX
Caspase Cascade in Apoptosis Homo sapiens h caspasePathway	1/23	0.05379548235722779	0.07448605249462309	0	0	19.27466150870406	56.33146626969103	LMNB1
NFkB activation by Nontypeable Hemophilus influenzae Homo sapiens h nthiPathway	1/29	0.06735649381055159	0.08351770077720698	0	0	15.139817629179332	40.84353327133134	CXCL8
Role of MEF2D in T-cell Apoptosis Homo sapiens h mef2dPathway	1/30	0.06959808398100582	0.08351770077720698	0	0	14.617021276595745	38.95462833164002	HLA-DRA
Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor Homo sapiens h CSKPathway	1/43	0.09826307487256424	0.11054595923163477	0	0	10.08611955420466	23.400876172094083	HLA-DRA
Keratinocyte Differentiation Homo sapiens h keratinocytePathway	1/53	0.11972290415463233	0.12395446305282025	0	0	8.142389525368248	17.28283520220542	DAXX
T Cell Receptor Signaling Pathway Homo sapiens h tcrPathway	1/55	0.12395446305282025	0.12395446305282025	0	0	7.840031520882585	16.36873936245896	HLA-DRA
