Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pertussis	3/76	8.065040396072014E-4	0.04827618900433598	0	0	18.15433789954338	129.30974797455667	CXCL8;IL23A;C2
Antigen processing and presentation	3/78	8.69841243321369E-4	0.04827618900433598	0	0	17.668444444444443	124.51305889564753	HSPA1L;HLA-B;HLA-DRA
Rheumatoid arthritis	3/93	0.00144683351883244	0.053532840196800276	0	0	14.712592592592593	96.19649012066725	CXCL8;IL23A;HLA-DRA
Allograft rejection	2/38	0.003752500913706466	0.08849379062603244	0	0	24.053140096618357	134.34479114516688	HLA-B;HLA-DRA
Graft-versus-host disease	2/42	0.004567922217495565	0.08849379062603244	0	0	21.643478260869564	116.6301427912035	HLA-B;HLA-DRA
Type I diabetes mellitus	2/43	0.004783448141947699	0.08849379062603244	0	0	21.114528101802758	112.80634320901902	HLA-B;HLA-DRA
Autoimmune thyroid disease	2/53	0.0071892883971213396	0.11268470276675153	0	0	16.965899403239558	83.72948041053294	HLA-B;HLA-DRA
Legionellosis	2/57	0.008276101863634535	0.11268470276675153	0	0	15.728853754940712	75.41015236871628	CXCL8;HSPA1L
Viral myocarditis	2/60	0.009136597521628502	0.11268470276675153	0	0	14.91304347826087	70.02370688055636	HLA-B;HLA-DRA
Inflammatory bowel disease	2/65	0.010655499425535519	0.11827604362344425	0	0	13.726017943409248	62.33916939793813	IL23A;HLA-DRA
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.011943612841183377	0.1205219113973959	0	0	106.1063829787234	469.7922320558719	HKDC1
Metabolism of xenobiotics by cytochrome P450	2/76	0.01435829873273994	0.12684412438737586	0	0	11.679200940070505	49.55983888532587	HSD11B1;GSTM1
Lipid and atherosclerosis	3/215	0.014855618171494469	0.12684412438737586	0	0	6.2075471698113205	26.129907259060516	CYP2C8;CXCL8;HSPA1L
Chemical carcinogenesis	3/239	0.019637676032528802	0.1556987171150498	0	0	5.569491525423729	21.889802123834933	HSD11B1;CYP2C8;GSTM1
Staphylococcus aureus infection	2/95	0.021856631903096106	0.1617390760829112	0	0	9.28424497428705	35.49599780429445	HLA-DRA;C2
Amoebiasis	2/102	0.024949348712210842	0.1710259837469447	0	0	8.631304347826086	31.85734647733977	ARG2;CXCL8
Th17 cell differentiation	2/107	0.027261456640586223	0.1710259837469447	0	0	8.218219461697723	29.604339264550035	IL23A;HLA-DRA
Drug metabolism	2/108	0.027733943310315354	0.1710259837469447	0	0	8.140278917145201	29.183699502581735	CYP2C8;GSTM1
Toxoplasmosis	2/112	0.02965684076131977	0.1732583855003418	0	0	7.842687747035573	27.59106537244795	HSPA1L;HLA-DRA
Systemic lupus erythematosus	2/135	0.041686007935067416	0.2219695348813432	0	0	6.478914677999346	20.587332856446665	HLA-DRA;C2
Estrogen signaling pathway	2/137	0.042806215056357025	0.2219695348813432	0	0	6.382286634460548	20.11104455243212	HSPA1L;FKBP5
Apoptosis	2/142	0.04565578189304879	0.2219695348813432	0	0	6.1527950310559	18.991371103875597	DAXX;LMNB1
Cell adhesion molecules	2/148	0.049165472260471334	0.2219695348813432	0	0	5.89815366289458	17.76856353440523	HLA-B;HLA-DRA
Arginine biosynthesis	1/22	0.05151662087178671	0.2219695348813432	0	0	20.193515704154002	59.890954463772765	ARG2
Phagosome	2/152	0.051558367083297925	0.2219695348813432	0	0	5.739710144927536	17.01847459708145	HLA-B;HLA-DRA
Non-alcoholic fatty liver disease	2/155	0.053380212906634736	0.2219695348813432	0	0	5.626314293833476	16.48687399421364	CXCL8;NDUFA6
Cellular senescence	2/156	0.053992589565732135	0.2219695348813432	0	0	5.5894974590626765	16.315231488033973	CXCL8;HLA-B
Influenza A	2/172	0.06412351812124822	0.2465982359103478	0	0	5.059335038363171	13.897710457556318	CXCL8;HLA-DRA
Linoleic acid metabolism	1/29	0.06735649381055159	0.2465982359103478	0	0	15.139817629179332	40.84353327133134	CYP2C8
Tuberculosis	2/180	0.06941232787895814	0.2465982359103478	0	0	4.829995114802149	12.884933493651198	IL23A;HLA-DRA
Asthma	1/31	0.07183439859286861	0.2465982359103478	0	0	14.129078014184397	37.20739858844958	HLA-DRA
Galactose metabolism	1/31	0.07183439859286861	0.2465982359103478	0	0	14.129078014184397	37.20739858844958	HKDC1
Fructose and mannose metabolism	1/33	0.07629124969085073	0.2465982359103478	0	0	13.24468085106383	34.08117343215803	HKDC1
Kaposi sarcoma-associated herpesvirus infection	2/193	0.07830055227061317	0.2465982359103478	0	0	4.49829273844753	11.458054064666088	CXCL8;HLA-B
Starch and sucrose metabolism	1/36	0.08293726244296368	0.2465982359103478	0	0	12.10759878419453	30.143935528683446	HKDC1
Tyrosine metabolism	1/36	0.08293726244296368	0.2465982359103478	0	0	12.10759878419453	30.143935528683446	HGD
Epstein-Barr virus infection	2/202	0.08465377163621282	0.2465982359103478	0	0	4.293913043478261	10.602468322196454	HLA-B;HLA-DRA
Alanine, aspartate and glutamate metabolism	1/37	0.08514217784287476	0.2465982359103478	0	0	11.770685579196217	28.996292220497825	RIMKLA
Glycine, serine and threonine metabolism	1/40	0.09172582526946642	0.2465982359103478	0	0	10.863611565739225	25.952639098328586	CBSL
Bladder cancer	1/41	0.09391004794021858	0.2465982359103478	0	0	10.591489361702127	25.05329843565195	CXCL8
Human T-cell leukemia virus 1 infection	2/219	0.09706336407861466	0.2465982359103478	0	0	3.954117411340413	9.222548953785907	HLA-B;HLA-DRA
Human cytomegalovirus infection	2/225	0.1015618473633757	0.2465982359103478	0	0	3.846558783388575	8.79741586697127	CXCL8;HLA-B
Type II diabetes mellitus	1/46	0.10475424665272434	0.2465982359103478	0	0	9.412293144208038	21.235433925545344	HKDC1
Proteasome	1/46	0.10475424665272434	0.2465982359103478	0	0	9.412293144208038	21.235433925545344	PSMB9
Coronavirus disease	2/232	0.10688288770123532	0.2465982359103478	0	0	3.7281663516068053	8.336260309382325	CXCL8;C2
Carbohydrate digestion and absorption	1/47	0.1069077860677883	0.2465982359103478	0	0	9.207215541165587	20.585387807497664	HKDC1
Amino sugar and nucleotide sugar metabolism	1/48	0.10905625276942482	0.2465982359103478	0	0	9.010864644635582	19.967097917958455	HKDC1
Intestinal immune network for IgA production	1/48	0.10905625276942482	0.2465982359103478	0	0	9.010864644635582	19.967097917958455	HLA-DRA
