Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon Signaling Homo sapiens R-HSA-913531	4/196	0.0012425550082066001	0.17659732606283268	0	0	9.356060606060606	62.597523697250985	IFI27;HLA-B;HLA-DRA;TRIM26
Interferon gamma signaling Homo sapiens R-HSA-877300	3/93	0.00144683351883244	0.17659732606283268	0	0	14.712592592592593	96.19649012066725	HLA-B;HLA-DRA;TRIM26
Metabolism of steroid hormones Homo sapiens R-HSA-196071	2/30	0.002350495478973478	0.17659732606283268	0	0	30.937888198757765	187.27103230547277	HSD11B1;HSD17B14
Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	6/620	0.0035152430684389085	0.17659732606283268	0	0	4.4993020009306655	25.42396557350253	IFI27;IL23A;HLA-B;HLA-DRA;TRIM26;PSMB9
Steroid hormones Homo sapiens R-HSA-209943	2/37	0.0035604299609442074	0.17659732606283268	0	0	24.741614906832297	139.49010655668351	HSD11B1;HSD17B14
ER-Phagosome pathway Homo sapiens R-HSA-1236974	2/65	0.010655499425535519	0.30517449991722156	0	0	13.726017943409248	62.33916939793813	HLA-B;PSMB9
Interferon alpha/beta signaling Homo sapiens R-HSA-909733	2/68	0.011616759783040167	0.30517449991722156	0	0	13.100131752305666	58.36510102971351	IFI27;HLA-B
Hyaluronan biosynthesis and export Homo sapiens R-HSA-2142850	1/5	0.011943612841183377	0.30517449991722156	0	0	106.1063829787234	469.7922320558719	CEMIP
Estrogen biosynthesis Homo sapiens R-HSA-193144	1/5	0.011943612841183377	0.30517449991722156	0	0	106.1063829787234	469.7922320558719	HSD17B14
Activation of C3 and C5 Homo sapiens R-HSA-174577	1/6	0.014315528554342706	0.30517449991722156	0	0	84.88085106382978	360.4389302463305	C2
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	2/82	0.01657969745605788	0.30517449991722156	0	0	10.8	44.27542487122337	HLA-B;PSMB9
Metabolism of polyamines Homo sapiens R-HSA-351202	2/84	0.01735078645216306	0.30517449991722156	0	0	10.535524920466596	42.71225537189182	ARG2;PSMB9
Hedgehog 'on' state Homo sapiens R-HSA-5632684	2/85	0.017741984149236282	0.30517449991722156	0	0	10.408067050811944	41.96346811639173	GAS1;PSMB9
Ligand-receptor interactions Homo sapiens R-HSA-5632681	1/8	0.019042648937520508	0.30517449991722156	0	0	60.62310030395137	240.13259456270143	GAS1
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET) Homo sapiens R-HSA-2142670	1/8	0.019042648937520508	0.30517449991722156	0	0	60.62310030395137	240.13259456270143	CYP2C8
Glucocorticoid biosynthesis Homo sapiens R-HSA-194002	1/9	0.021397878854313653	0.30517449991722156	0	0	53.04255319148936	203.9201586743584	HSD11B1
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) Homo sapiens R-HSA-2142816	1/9	0.021397878854313653	0.30517449991722156	0	0	53.04255319148936	203.9201586743584	CYP2C8
Downstream TCR signaling Homo sapiens R-HSA-202424	2/99	0.023602999269332906	0.30517449991722156	0	0	8.899596593455849	33.3412839225343	HLA-DRA;PSMB9
Urea cycle Homo sapiens R-HSA-70635	1/10	0.0237475721230066	0.30517449991722156	0	0	47.146572104018915	176.3411440394006	ARG2
CYP2E1 reactions Homo sapiens R-HSA-211999	1/11	0.026091741385155156	0.30517449991722156	0	0	42.42978723404255	154.70479323760136	CYP2C8
Phenylalanine and tyrosine catabolism Homo sapiens R-HSA-71182	1/11	0.026091741385155156	0.30517449991722156	0	0	42.42978723404255	154.70479323760136	HGD
Endosomal/Vacuolar pathway Homo sapiens R-HSA-1236977	1/12	0.02843039928954076	0.30517449991722156	0	0	38.57059961315281	137.3227634294791	HLA-B
Immune System Homo sapiens R-HSA-168256	8/1547	0.02960614009202368	0.30517449991722156	0	0	2.3928525016244313	8.42229883329463	IFI27;IL23A;HLA-B;HLA-DRA;TRIM26;C2;PSMB9;OSCAR
Initiation of Nuclear Envelope Reformation Homo sapiens R-HSA-2995383	1/13	0.030763558459397336	0.30517449991722156	0	0	35.354609929078016	123.08440365356886	LMNB1
Nuclear Envelope Reassembly Homo sapiens R-HSA-2995410	1/13	0.030763558459397336	0.30517449991722156	0	0	35.354609929078016	123.08440365356886	LMNB1
TCR signaling Homo sapiens R-HSA-202403	2/118	0.03263808892916054	0.3113171559396852	0	0	7.434782608695652	25.443872886807796	HLA-DRA;PSMB9
