Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allograft Rejection WP2328	4/89	6.13801567162383E-5	0.004910412537299064	0	0	21.24812834224599	206.07335692530603	CXCL8;HLA-B;HLA-DRA;C2
Pathogenesis of SARS-CoV-2 Mediated by nsp9-nsp10 Complex WP4884	2/21	0.001150441700335646	0.046017668013425835	0	0	45.61327231121282	308.69280695051845	CXCL8;HLA-DRA
Type II interferon signaling (IFNG) WP619	2/37	0.0035604299609442074	0.0913584443499113	0	0	24.741614906832297	139.49010655668351	HLA-B;PSMB9
Fas ligand pathway and stress induction of heat shock proteins WP314	2/42	0.004567922217495565	0.0913584443499113	0	0	21.643478260869564	116.6301427912035	DAXX;LMNB1
Proteasome Degradation WP183	2/62	0.00973155271923923	0.15570484350782768	0	0	14.414492753623188	66.77343410311857	HLA-B;PSMB9
Benzene metabolism WP3891	1/6	0.014315528554342706	0.1668186971656736	0	0	84.88085106382978	360.4389302463305	GSTM1
Aflatoxin B1 metabolism WP699	1/7	0.01668186971656736	0.1668186971656736	0	0	70.73049645390071	289.53053379202834	GSTM1
Arachidonate Epoxygenase / Epoxide Hydrolase WP678	1/7	0.01668186971656736	0.1668186971656736	0	0	70.73049645390071	289.53053379202834	CYP2C8
Eicosanoid metabolism via cytochrome P450 monooxygenases (CYP) pathway WP4720	1/9	0.021397878854313653	0.17214554354312894	0	0	53.04255319148936	203.9201586743584	CYP2C8
Codeine and Morphine Metabolism WP1604	1/15	0.0354134310062899	0.17214554354312894	0	0	30.300911854103344	101.22516915069231	CYP2C8
COVID-19 adverse outcome pathway WP4891	1/15	0.0354134310062899	0.17214554354312894	0	0	30.300911854103344	101.22516915069231	CXCL8
Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism WP4523	1/16	0.037730169536142964	0.17214554354312894	0	0	28.279432624113475	92.68005025728142	HSD11B1
Ebola Virus Pathway on Host WP4217	2/129	0.03839434245156017	0.17214554354312894	0	0	6.7870592262923655	22.12476218462141	HLA-B;HLA-DRA
Cells and molecules involved in local acute inflammatory response  WP4493	1/17	0.0400414596344939	0.17214554354312894	0	0	26.51063829787234	85.306988915029	CXCL8
Estrogen metabolism WP697	1/18	0.042347313814152854	0.17214554354312894	0	0	24.94993742177722	78.88796682594588	GSTM1
Overview of nanoparticle effects WP3287	1/19	0.04464774457519721	0.17214554354312894	0	0	23.562647754137117	73.25512875801161	CXCL8
Farnesoid X receptor pathway WP2879	1/19	0.04464774457519721	0.17214554354312894	0	0	23.562647754137117	73.25512875801161	FKBP5
LTF danger signal response pathway WP4478	1/19	0.04464774457519721	0.17214554354312894	0	0	23.562647754137117	73.25512875801161	CXCL8
Tamoxifen metabolism WP691	1/21	0.04923238567693172	0.17214554354312894	0	0	21.204255319148935	63.85033051565917	CYP2C8
Urea cycle and metabolism of amino groups WP497	1/21	0.04923238567693172	0.17214554354312894	0	0	21.204255319148935	63.85033051565917	ARG2
PI3K/AKT/mTOR - VitD3 signaling WP4141	1/22	0.05151662087178671	0.17214554354312894	0	0	20.193515704154002	59.890954463772765	HLA-DRA
Complement Activation WP545	1/22	0.05151662087178671	0.17214554354312894	0	0	20.193515704154002	59.890954463772765	C2
Nonalcoholic fatty liver disease WP4396	2/155	0.053380212906634736	0.17214554354312894	0	0	5.626314293833476	16.48687399421364	CXCL8;NDUFA6
Ebstein-Barr virus LMP1 signaling WP262	1/23	0.05379548235722779	0.17214554354312894	0	0	19.27466150870406	56.33146626969103	CXCL8
Glutathione metabolism WP100	1/23	0.05379548235722779	0.17214554354312894	0	0	19.27466150870406	56.33146626969103	GSTM1
