Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Graft-versus-host disease	6/42	1.357023637739796E-8	9.433328226127002E-7	0	0	46.032407407407405	833.8948721552882	IL1B;HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Type I diabetes mellitus	6/43	1.572221371021167E-8	9.433328226127002E-7	0	0	44.78603603603604	804.7240603143019	IL1B;HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Allograft rejection	5/38	3.5952426533313424E-7	1.4380970613325369E-5	0	0	41.28061436280614	612.5417425280177	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Epstein-Barr virus infection	8/202	1.206483372662751E-6	3.6194501179882534E-5	0	0	11.62179675994109	158.37953040902815	CXCL10;HLA-B;IRF7;HLA-DRA;ISG15;HLA-A;HLA-F;HLA-G
Cell adhesion molecules	7/148	1.7944250035486297E-6	3.9276710106108404E-5	0	0	13.831485366097294	183.00197508869144	CDH2;HLA-B;HLA-DRA;HLA-A;HLA-F;L1CAM;HLA-G
Autoimmune thyroid disease	5/53	1.9638355053054203E-6	3.9276710106108404E-5	0	0	28.359018264840184	372.65483037970847	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Viral myocarditis	5/60	3.6588581621615244E-6	6.272328277991185E-5	0	0	24.740971357409713	309.7163722670746	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Kaposi sarcoma-associated herpesvirus infection	7/193	1.035168822688809E-5	1.5527532340332134E-4	0	0	10.461305467211874	120.0786400337143	C3;CXCL8;HLA-B;IRF7;HLA-A;HLA-F;HLA-G
Antigen processing and presentation	5/78	1.3390608446047335E-5	1.785414459472978E-4	0	0	18.623569149934323	208.97426785365505	HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Cytokine-cytokine receptor interaction	8/295	1.952983291001449E-5	2.343579949201739E-4	0	0	7.818815331010453	84.78385078497898	CXCL10;CXCL9;CXCL8;CCL20;IL1R2;IL1B;LIF;INHBA
Phagosome	6/152	2.8562303162747316E-5	3.061541333049233E-4	0	0	11.287671232876713	118.10767632016167	C3;HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Cellular senescence	6/156	3.305633944643032E-5	3.061541333049233E-4	0	0	10.984444444444444	113.32977786903272	CXCL8;SERPINE1;HLA-B;HLA-A;HLA-F;HLA-G
IL-17 signaling pathway	5/94	3.316669777470003E-5	3.061541333049233E-4	0	0	15.263198399261197	157.42408285252785	CXCL10;CXCL8;CCL20;IL1B;S100A7
Human papillomavirus infection	8/331	4.431415406704536E-5	3.798356062889602E-4	0	0	6.934630694383016	69.51416957581472	HLA-B;FN1;LAMC2;ISG15;HLA-A;HLA-F;HLA-G;OASL
