Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon gamma signaling Homo sapiens R-HSA-877300	8/93	2.8888132702166104E-9	7.713131431478349E-7	0	0	26.671596638655462	524.4281365747028	GBP5;HLA-B;IRF7;HLA-DRA;HLA-A;HLA-F;HLA-G;OASL
Interferon alpha/beta signaling Homo sapiens R-HSA-909733	7/68	8.348526762469465E-9	1.1145283227896735E-6	0	0	32.10043869776033	597.1060623483071	HLA-B;IRF7;ISG15;HLA-A;HLA-F;HLA-G;OASL
Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	15/620	1.4220345584019572E-8	1.2656107569777418E-6	0	0	7.602125147579693	137.35969846225788	DUSP5;GBP5;RASGRF2;IL1R2;HLA-B;LIF;FN1;ISG15;HLA-A;HLA-F;HLA-G;OASL;IL1B;IRF7;HLA-DRA
Interferon Signaling Homo sapiens R-HSA-913531	9/196	7.05956112244736E-8	4.712257049233613E-6	0	0	13.765403394559405	226.66523243500276	GBP5;HLA-B;IRF7;HLA-DRA;ISG15;HLA-A;HLA-F;HLA-G;OASL
Endosomal/Vacuolar pathway Homo sapiens R-HSA-1236977	4/12	1.0344831232701739E-7	5.524139878262729E-6	0	0	134.55405405405406	2164.1934748212175	HLA-B;HLA-A;HLA-F;HLA-G
Antigen Presentation: Folding, assembly and peptide loading of class I MHC Homo sapiens R-HSA-983170	4/25	2.543942991510681E-6	1.132054631222253E-4	0	0	51.22522522522522	659.8728666611207	HLA-B;HLA-A;HLA-F;HLA-G
Chemokine receptors bind chemokines Homo sapiens R-HSA-380108	4/56	6.73975105382285E-5	0.002570733616243859	0	0	20.654885654885653	198.3881623756005	CXCL10;CXCL9;CXCL8;CCL20
Immune System Homo sapiens R-HSA-168256	17/1547	7.798631444228794E-5	0.0026027932445113603	0	0	3.3500910746812385	31.688435101832404	ZBP1;DUSP5;GBP5;RASGRF2;IL1R2;HLA-B;LIF;FN1;ISG15;HLA-A;HLA-F;HLA-G;OASL;C3;IL1B;IRF7;HLA-DRA
ER-Phagosome pathway Homo sapiens R-HSA-1236974	4/65	1.2098106082499391E-4	0.0035891048044748197	0	0	17.599468320779796	158.74503154144685	HLA-B;HLA-A;HLA-F;HLA-G
Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	4/82	2.972691738535788E-4	0.007937086941890553	0	0	13.751905751905753	111.67747352296438	HLA-B;HLA-A;HLA-F;HLA-G
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	5/157	3.7214754659161065E-4	0.009033035903632731	0	0	8.90861571737563	70.34439095134314	C3;HLA-B;HLA-A;HLA-F;HLA-G
Peptide ligand-binding receptors Homo sapiens R-HSA-375276	5/193	9.48474086445226E-4	0.02110354842340628	0	0	7.189594870300204	50.04429731518165	C3;CXCL10;CXCL9;CXCL8;CCL20
Dissolution of Fibrin Clot Homo sapiens R-HSA-75205	2/13	0.0011390164604325869	0.02172267106682148	0	0	47.633971291866025	322.84353429820396	SERPINE1;PLAUR
Signaling by Activin Homo sapiens R-HSA-1502540	2/13	0.0011390164604325869	0.02172267106682148	0	0	47.633971291866025	322.84353429820396	INHBA;FSTL3
