Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allograft Rejection WP2328	9/89	6.414304813669723E-11	1.064774599069174E-8	0	0	32.35108695652174	759.2769504442448	C3;CXCL9;CXCL8;IL1B;HLA-B;HLA-DRA;HLA-A;HLA-F;HLA-G
Type II interferon signaling (IFNG) WP619	5/37	3.1316924555932233E-7	2.5993047381423753E-5	0	0	42.57277397260274	637.5920890629576	CXCL10;CXCL9;IL1B;HLA-B;ISG15
Senescence and Autophagy in Cancer WP615	6/105	3.427720656244883E-6	1.7881885068932575E-4	0	0	16.686026936026938	209.97053966675753	CXCL8;IL1B;SERPINE1;IRF7;FN1;INHBA
Proteasome Degradation WP183	5/62	4.308887968417488E-6	1.7881885068932575E-4	0	0	23.8704638308099	294.91553933882614	UCHL1;HLA-B;HLA-A;HLA-F;HLA-G
Cytosolic DNA-sensing pathway WP4655	5/75	1.1047676976675531E-5	3.1128202773981047E-4	0	0	19.424657534246574	221.6992569792831	ZBP1;CXCL10;IL1B;IRF7;ISG15
Ebola Virus Pathway on Host WP4217	6/129	1.1251157629149775E-5	3.1128202773981047E-4	0	0	13.413956639566395	152.85256621842487	HLA-B;IRF7;HLA-DRA;HLA-A;HLA-F;HLA-G
COVID-19 adverse outcome pathway WP4891	3/15	2.5101151168275355E-5	5.952558705619585E-4	0	0	66.36666666666666	702.9953442518079	CXCL10;CXCL8;IL1B
Toll-like Receptor Signaling Pathway WP75	5/103	5.1470497003292776E-5	0.0010680128128183251	0	0	13.855185909980431	136.8130580435559	CXCL10;CXCL9;CXCL8;IL1B;IRF7
TGF-beta Receptor Signaling WP560	4/54	5.837547473476775E-5	0.0010767032006634939	0	0	21.483243243243244	209.43186108899596	SERPINE1;NOG;LIF;INHBA
TGF-beta receptor signaling in skeletal dysplasias WP4816	4/58	7.739514698149411E-5	0.001277811505631715	0	0	19.88788788788789	188.27041059189096	SERPINE1;NOG;LIF;INHBA
