Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GATA3 participate in activating the Th2 cytokine genes expression Homo sapiens h GATA3pathway	2/19	0.008124111152401935	0.17060633420044063	0	0	16.43661971830986	79.10811857172071	IL1A;GATA3
Basic mechanism of action of PPARa, PPARb(d) and PPARg and effects on gene expression Homo sapiens h pparPathway	1/5	0.03548861536845943	0.21447959206362338	0	0	34.70629370629371	115.86846528512848	PTGS1
Mechanism of Acetaminophen Activity and Toxicity Homo sapiens h AcetaminophenPathway	1/7	0.04933133513066033	0.21447959206362338	0	0	23.135198135198134	69.6183410331835	PTGS1
TSP-1 Induced Apoptosis in Microvascular Endothelial Cell  Homo sapiens h tsp1Pathway	1/7	0.04933133513066033	0.21447959206362338	0	0	23.135198135198134	69.6183410331835	CD36
CXCR4 Signaling Pathway Homo sapiens h cxcr4Pathway	1/11	0.07642764774151524	0.21447959206362338	0	0	13.878321678321678	35.68686578929854	PIK3C2G
Cardiac Protection Against ROS  Homo sapiens h flumazenilPathway	1/11	0.07642764774151524	0.21447959206362338	0	0	13.878321678321678	35.68686578929854	SOD3
IL 6 signaling pathway Homo sapiens h il6Pathway	1/13	0.08968678389130744	0.21447959206362338	0	0	11.564102564102564	27.886045327020618	IL6R
IL-10 Anti-inflammatory Signaling Pathway Homo sapiens h il10Pathway	1/13	0.08968678389130744	0.21447959206362338	0	0	11.564102564102564	27.886045327020618	IL1A
Stress Induction of HSP Regulation Homo sapiens h hsp27Pathway	1/14	0.0962452906927208	0.21447959206362338	0	0	10.674018289402905	24.9863315899439	IL1A
The IGF-1 Receptor and Longevity Homo sapiens h longevityPathway	1/16	0.10922186039672545	0.21447959206362338	0	0	9.24988344988345	20.482701866982715	SOD3
Aspirin Blocks Signaling Pathway Involved in Platelet Activation Homo sapiens h sppaPathway	1/17	0.11564058767870697	0.21447959206362338	0	0	8.671328671328672	18.706382287067274	PTGS1
NF-kB Signaling Pathway Homo sapiens h nfkbPathway	1/21	0.14085942250239014	0.21447959206362338	0	0	6.9356643356643355	13.593852781664756	IL1A
Eicosanoid Metabolism Homo sapiens h eicosanoidPathway	1/23	0.15319970861687385	0.21447959206362338	0	0	6.304513668150032	11.827349118815892	PTGS1
CCR3 signaling in Eosinophils Homo sapiens h CCR3Pathway	1/23	0.15319970861687385	0.21447959206362338	0	0	6.304513668150032	11.827349118815892	PIK3C2G
How Progesterone Initiates the Oocyte Maturation Homo sapiens h mPRPathway	1/23	0.15319970861687385	0.21447959206362338	0	0	6.304513668150032	11.827349118815892	PAQR5
Role of ERBB2 in Signal Transduction and Oncology Homo sapiens h her2Pathway	1/28	0.1832857102726615	0.24056249473286823	0	0	5.135716135716136	8.713816227078066	IL6R
fMLP induced chemokine gene expression in HMC-1 cells Homo sapiens h fMLPpathway	1/30	0.1950207027500213	0.24090792692649693	0	0	4.781046539667229	7.8153356133463845	PIK3C2G
Phospholipids as signalling intermediaries Homo sapiens h edg1Pathway	1/33	0.21230994594447097	0.24769493693521616	0	0	4.3321678321678325	6.71359541905614	PIK3C2G
Signal transduction through IL1R Homo sapiens h il1rPathway	1/36	0.2292303764866502	0.25335988980103447	0	0	3.96023976023976	5.833543143716861	IL1A
Actions of Nitric Oxide in the Heart Homo sapiens h no1Pathway	1/42	0.26199588921712913	0.2750956836779856	0	0	3.3796691113764283	4.526818251920698	CHRNA1
Agrin in Postsynaptic Differentiation Homo sapiens h agrPathway	1/47	0.28824106957344137	0.28824106957344137	0	0	3.0115536637275766	3.746246579134207	CHRNA1
