Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ECM-receptor interaction	5/88	4.376184263569622E-4	0.06000520654422431	0	0	8.569385455491028	66.27702563630513	VWF;SV2B;ITGA10;CD36;NPNT
Hematopoietic cell lineage	5/99	7.500650818028039E-4	0.06000520654422431	0	0	7.562375631409766	54.413943881570866	IL1A;ANPEP;CD38;CD36;IL6R
Protein digestion and absorption	4/103	0.0065717327673770936	0.3504924142601117	0	0	5.701875901875902	28.651799494184388	COL5A3;COL22A1;COL11A2;SLC8A2
Platelet activation	4/124	0.012426586044930504	0.4970634417972202	0	0	4.699047619047619	20.61903123994247	PLA2G4F;VWF;P2RY1;PTGS1
Arrhythmogenic right ventricular cardiomyopathy	3/77	0.018146853312934953	0.5261548685479226	0	0	5.687751581368603	22.803664123927636	CDH2;ITGA10;SLC8A2
Cytokine-cytokine receptor interaction	6/295	0.020118078325386847	0.5261548685479226	0	0	2.9437340153452687	11.498626733438549	IL1A;IL33;CXCL11;IL16;LTB;IL6R
Complement and coagulation cascades	3/85	0.0235107913493633	0.5261548685479226	0	0	5.130773222625844	19.241917046322662	VWF;VSIG4;CFB
Hypertrophic cardiomyopathy	3/90	0.027253176830472355	0.5261548685479226	0	0	4.834678405478112	17.417340791690044	TNNT2;ITGA10;SLC8A2
Dilated cardiomyopathy	3/96	0.03213845522495025	0.5261548685479226	0	0	4.521390986044383	15.543194762117535	TNNT2;ITGA10;SLC8A2
Fat digestion and absorption	2/43	0.038354176246319566	0.5261548685479226	0	0	6.806939196152525	22.19669260868441	MOGAT2;CD36
Caffeine metabolism	1/6	0.042434814389666786	0.5261548685479226	0	0	27.763636363636362	87.72715392092086	XDH
Axon guidance	4/182	0.04274480243684501	0.5261548685479226	0	0	3.1585874799357945	9.957471261334685	SEMA5A;SEMA3G;UNC5C;L1CAM
Drug metabolism	3/108	0.043182348617975985	0.5261548685479226	0	0	4.002228976697062	12.576298021922385	GSTM1;CYP2D6;XDH
Serotonergic synapse	3/113	0.04827464586316207	0.5261548685479226	0	0	3.8193423597678917	11.575849156395893	PLA2G4F;CYP2D6;PTGS1
Glutamatergic synapse	3/114	0.04932701892636775	0.5261548685479226	0	0	3.7847421889975084	11.389361452097251	PLA2G4F;SLC1A3;SHANK3
Regulation of lipolysis in adipocytes	2/55	0.059673596856796636	0.5723054896376198	0	0	5.2625564709008765	14.834439509742873	FABP4;PTGS1
Glutathione metabolism	2/57	0.06354686346484079	0.5723054896376198	0	0	5.0706786171574905	13.974676878151012	GSTM1;ANPEP
Mineral absorption	2/60	0.06951073245381138	0.5723054896376198	0	0	4.807673627974745	12.818575745414474	HEPHL1;SLC8A2
Lipid and atherosclerosis	4/215	0.07008539683589787	0.5723054896376198	0	0	2.6601218686526744	7.070712528148162	HSPA1L;CD36;POU2F2;AGER
Arachidonic acid metabolism	2/61	0.07153818620470248	0.5723054896376198	0	0	4.725948913821915	12.464803205919496	PLA2G4F;PTGS1
Inflammatory bowel disease	2/65	0.07983537880071856	0.6082695527673795	0	0	4.424994410909904	11.185450114586402	IL1A;GATA3
Cell adhesion molecules	3/148	0.09140740246346098	0.6647811088251707	0	0	2.8922964049889948	6.919613258063471	CLDN22;CDH2;L1CAM
PPAR signaling pathway	2/74	0.0995017071137836	0.6852775566145598	0	0	3.8701095461658843	8.930589236617617	FABP4;CD36
Metabolism of xenobiotics by cytochrome P450	2/76	0.10404065673452909	0.6852775566145598	0	0	3.76513132851161	8.520392518690185	GSTM1;CYP2D6
Necroptosis	3/159	0.1074014379501554	0.6852775566145598	0	0	2.6868521549372613	5.9948553808999465	IL1A;IL33;PLA2G4F
Nitrogen metabolism	1/17	0.11564058767870697	0.6852775566145598	0	0	8.671328671328672	18.706382287067274	CA7
Primary bile acid biosynthesis	1/17	0.11564058767870697	0.6852775566145598	0	0	8.671328671328672	18.706382287067274	CH25H
Cardiac muscle contraction	2/87	0.12993397395133258	0.6953648020544502	0	0	3.276056338028169	6.685542683992233	TNNT2;SLC8A2
Rheumatoid arthritis	2/93	0.14462566528162107	0.6953648020544502	0	0	3.0591239746169325	5.915141981536161	IL1A;LTB
Arginine biosynthesis	1/22	0.14705172735166475	0.6953648020544502	0	0	6.605061605061605	12.661710673988173	ARG2
Proximal tubule bicarbonate reclamation	1/23	0.15319970861687385	0.6953648020544502	0	0	6.304513668150032	11.827349118815892	AQP1
Renin-angiotensin system	1/23	0.15319970861687385	0.6953648020544502	0	0	6.304513668150032	11.827349118815892	ANPEP
AGE-RAGE signaling pathway in diabetic complications	2/100	0.16217423854157628	0.6953648020544502	0	0	2.8396090830698477	5.165487378795345	IL1A;AGER
Viral protein interaction with cytokine and cytokine receptor	2/100	0.16217423854157628	0.6953648020544502	0	0	2.8396090830698477	5.165487378795345	CXCL11;IL6R
MAPK signaling pathway	4/294	0.16266939324986748	0.6953648020544502	0	0	1.9276847290640393	3.5007437083196606	IL1A;PLA2G4F;HSPA1L;MAPK8IP2
alpha-Linolenic acid metabolism	1/25	0.16536395835057233	0.6953648020544502	0	0	5.778554778554779	10.399124313170919	PLA2G4F
Folate biosynthesis	1/26	0.17138085025327107	0.6953648020544502	0	0	5.547132867132867	9.784404634118642	TH
Maturity onset diabetes of the young	1/26	0.17138085025327107	0.6953648020544502	0	0	5.547132867132867	9.784404634118642	ONECUT1
Th17 cell differentiation	2/107	0.18008219263040173	0.6953648020544502	0	0	2.649362843729041	4.541913748765222	GATA3;IL6R
Diabetic cardiomyopathy	3/203	0.1803979524145859	0.6953648020544502	0	0	2.091063829787234	3.5811350495681906	PDK4;CD36;AGER
Linoleic acid metabolism	1/29	0.18917428872059963	0.6953648020544502	0	0	4.952047952047952	8.245588322597563	PLA2G4F
Nicotinate and nicotinamide metabolism	1/35	0.22363072641172957	0.6953648020544502	0	0	4.076923076923077	6.106248761885597	CD38
Tyrosine metabolism	1/36	0.2292303764866502	0.6953648020544502	0	0	3.96023976023976	5.833543143716861	TH
Neuroactive ligand-receptor interaction	4/341	0.23145428620318806	0.6953648020544502	0	0	1.6548537515896566	2.42166812155847	CHRNA1;VIPR1;GCGR;P2RY1
Osteoclast differentiation	2/127	0.23256468788715515	0.6953648020544502	0	0	2.2232112676056337	3.24274675345237	IL1A;OSCAR
Coronavirus disease	3/232	0.23414670853665387	0.6953648020544502	0	0	1.8235622038465111	2.6474611028586157	VWF;IL6R;CFB
Glycine, serine and threonine metabolism	1/40	0.25123072303466765	0.6953648020544502	0	0	3.5533440918056303	4.908531064512407	CBSL
Pathways of neurodegeneration	5/475	0.25781064120705427	0.6953648020544502	0	0	1.483698147864687	2.0111972203180084	IL1A;UCHL1;TUBB3;WNT3A;AGER
Estrogen signaling pathway	2/137	0.2591898360301011	0.6953648020544502	0	0	2.057485654668753	2.778005872618516	HSPA1L;FKBP5
Graft-versus-host disease	1/42	0.26199588921712913	0.6953648020544502	0	0	3.3796691113764283	4.526818251920698	IL1A
Fluid shear stress and atherosclerosis	2/139	0.26452449266876227	0.6953648020544502	0	0	2.0272437544977895	2.6958721927997082	IL1A;GSTM1
Measles	2/139	0.26452449266876227	0.6953648020544502	0	0	2.0272437544977895	2.6958721927997082	IL1A;HSPA1L
Salmonella infection	3/249	0.2668834259857385	0.6953648020544502	0	0	1.6960733437121605	2.240416758215506	ARHGEF26;TUBB3;PIK3C2G
Parkinson disease	3/249	0.2668834259857385	0.6953648020544502	0	0	1.6960733437121605	2.240416758215506	UCHL1;TH;TUBB3
Type I diabetes mellitus	1/43	0.26732069295906075	0.6953648020544502	0	0	3.299034299034299	4.352436550206619	IL1A
Porphyrin and chlorophyll metabolism	1/43	0.26732069295906075	0.6953648020544502	0	0	3.299034299034299	4.352436550206619	HEPHL1
Signaling pathways regulating pluripotency of stem cells	2/143	0.2751941441291437	0.6953648020544502	0	0	1.9693337328938167	2.5409888798569593	WNT3A;ONECUT1
Alzheimer disease	4/369	0.2754051161542066	0.6953648020544502	0	0	1.5257142857142858	1.9674270565012928	IL1A;TUBB3;WNT3A;AGER
ABC transporters	1/45	0.2778561088076697	0.6953648020544502	0	0	3.1487603305785123	4.032465879553972	ABCA12
Amino sugar and nucleotide sugar metabolism	1/48	0.2933777972902192	0.6953648020544502	0	0	2.9473292664782025	3.614292460748964	CHIT1
Adrenergic signaling in cardiomyocytes	2/150	0.2938448101515866	0.6953648020544502	0	0	1.8755234107346783	2.2969600997803203	TNNT2;SLC8A2
Cocaine addiction	1/49	0.2984777090044541	0.6953648020544502	0	0	2.885780885780886	3.4890823117534304	TH
Ether lipid metabolism	1/49	0.2984777090044541	0.6953648020544502	0	0	2.885780885780886	3.4890823117534304	PLA2G4F
Phagosome	2/152	0.29916367066495947	0.6953648020544502	0	0	1.8503286384976525	2.232910843642193	TUBB3;CD36
Arginine and proline metabolism	1/50	0.30354106685611854	0.6953648020544502	0	0	2.826744683887541	3.370153465117457	ARG2
Cholesterol metabolism	1/50	0.30354106685611854	0.6953648020544502	0	0	2.826744683887541	3.370153465117457	CD36
Cysteine and methionine metabolism	1/50	0.30354106685611854	0.6953648020544502	0	0	2.826744683887541	3.370153465117457	CBSL
Malaria	1/50	0.30354106685611854	0.6953648020544502	0	0	2.826744683887541	3.370153465117457	CD36
Oxytocin signaling pathway	2/154	0.30447637280819795	0.6953648020544502	0	0	1.8257968865826537	2.1711678906256062	PLA2G4F;CD38
Non-alcoholic fatty liver disease	2/155	0.3071301280497933	0.6953648020544502	0	0	1.81377151799687	2.1411278056265526	IL1A;IL6R
Ovarian steroidogenesis	1/51	0.30856813091166224	0.6953648020544502	0	0	2.77006993006993	3.2570831662047954	PLA2G4F
Prion disease	3/273	0.3138955088121888	0.6975455751381974	0	0	1.5434200157604412	1.788353244908172	IL1A;HSPA1L;TUBB3
Endocrine and other factor-regulated calcium reabsorption	1/53	0.31851440938712056	0.6981137739991683	0	0	2.663259817105971	3.04700243535845	SLC8A2
Legionellosis	1/57	0.33798268691525163	0.7103155444095538	0	0	2.4725274725274726	2.6821004018124146	HSPA1L
Hepatocellular carcinoma	2/168	0.34141947969466635	0.7103155444095538	0	0	1.6706261666383846	1.795327403852299	GSTM1;WNT3A
VEGF signaling pathway	1/59	0.34750868973577415	0.7103155444095538	0	0	2.387026766337111	2.5230051970501983	PLA2G4F
Influenza A	2/172	0.35187155315285273	0.7103155444095538	0	0	1.6309859154929578	1.7035469715064784	IL1A;IL33
Long-term depression	1/60	0.35222051912821756	0.7103155444095538	0	0	2.346450160009482	2.448515637833965	PLA2G4F
Glycerolipid metabolism	1/61	0.35689855753703015	0.7103155444095538	0	0	2.307226107226107	2.377143572259692	MOGAT2
Basal cell carcinoma	1/63	0.3661542224291939	0.7103155444095538	0	0	2.232573877735168	2.243068451977774	WNT3A
Cytosolic DNA-sensing pathway	1/63	0.3661542224291939	0.7103155444095538	0	0	2.232573877735168	2.243068451977774	IL33
