Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell-Cell communication Homo sapiens R-HSA-1500931	5/131	0.002598726360918209	0.3487903519847389	0	0	5.6326367477446615	33.52958723681921	KIRREL3;CLDN22;KIRREL2;CDH2;DSCAM
Miscellaneous substrates Homo sapiens R-HSA-211958	2/12	0.0032407200557799188	0.3487903519847389	0	0	27.952112676056338	160.22038435143824	CYP2D6;CYP4B1
Diseases of glycosylation Homo sapiens R-HSA-3781865	4/88	0.003764732721113224	0.3487903519847389	0	0	6.725170068027211	37.54042664474073	SEMA5A;BGN;MUC13;MUC21
Platelet Adhesion to exposed collagen Homo sapiens R-HSA-75892	2/13	0.0038119164151337584	0.3487903519847389	0	0	25.409731113956465	141.52262843147165	VWF;ITGA10
Fatty acids Homo sapiens R-HSA-211935	2/15	0.005083277524472517	0.360048642647125	0	0	21.498374864572046	113.55009579541293	CYP2D6;CYP4B1
Defective GALNT12 causes colorectal cancer 1 (CRCS1) Homo sapiens R-HSA-5083636	2/18	0.007303199171774846	0.360048642647125	0	0	17.464788732394368	85.91702890574375	MUC13;MUC21
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC) Homo sapiens R-HSA-5083625	2/18	0.007303199171774846	0.360048642647125	0	0	17.464788732394368	85.91702890574375	MUC13;MUC21
Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS) Homo sapiens R-HSA-5083632	2/20	0.00898447152514467	0.360048642647125	0	0	15.522691705790297	73.14692162054195	MUC13;MUC21
Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995	3/62	0.010141304428299322	0.360048642647125	0	0	7.139199423007573	32.77705438138524	SEMA5A;MUC13;MUC21
Collagen biosynthesis and modifying enzymes Homo sapiens R-HSA-1650814	3/63	0.010593151781733786	0.360048642647125	0	0	7.019858156028369	31.923138723531668	COL22A1;COL5A3;COL11A2
Nephrin interactions Homo sapiens R-HSA-373753	2/22	0.01082113406862944	0.360048642647125	0	0	13.969014084507043	63.227308653074246	KIRREL3;KIRREL2
Termination of O-glycan biosynthesis Homo sapiens R-HSA-977068	2/26	0.014941764599782232	0.42263569642033927	0	0	11.63849765258216	48.92353046794489	MUC13;MUC21
