Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	7/158	1.4942302893079085E-4	0.025850184005026818	0	0	6.667714023299657	58.73408691002775	IL1A;VIPR1;TH;SLC1A3;GATA3;POU2F2;IL6R
EDA signaling in hair follicle development WP3930	2/13	0.0038119164151337584	0.20849290675708715	0	0	25.409731113956465	141.52262843147165	SOSTDC1;LTB
Selenium Micronutrient Network WP15	4/89	0.003920202502193991	0.20849290675708715	0	0	6.645714285714286	36.82796982023441	SELENOP;XDH;SOD3;PTGS1
Cardiac Progenitor Differentiation WP2406	3/53	0.006583049518371424	0.20849290675708715	0	0	8.428085106382978	42.336439094797726	WNT3A;ANPEP;TNNT2
Fatty acid transporters WP5061	2/18	0.007303199171774846	0.20849290675708715	0	0	17.464788732394368	85.91702890574375	FABP4;CD36
LTF danger signal response pathway WP4478	2/19	0.008124111152401935	0.20849290675708715	0	0	16.43661971830986	79.10811857172071	IL1A;AGER
Nuclear Receptors Meta-Pathway WP2882	7/319	0.008436129175142254	0.20849290675708715	0	0	3.200636346621748	15.283780155728268	TGFBR3;SLC5A9;GSTM1;PDK4;AGER;SOD3;FKBP5
Glutathione metabolism WP100	2/23	0.01179625079604133	0.24620677442334624	0	0	13.303152246814218	59.06564380345006	GSTM1;ANPEP
GPCRs, Class B Secretin-like WP334	2/24	0.012808444912197204	0.24620677442334624	0	0	12.697823303457106	55.33267691589696	VIPR1;GCGR
Primary focal segmental glomerulosclerosis (FSGS) WP2572	3/72	0.015183308386755582	0.2626712350908716	0	0	6.101449275362318	25.550176306001767	KIRREL3;KIRREL2;CDH2
Extracellular vesicle-mediated signaling in recipient cells WP2870	2/30	0.01962837334808242	0.29031323918793894	0	0	9.9738430583501	39.20497423677295	TGFBR3;WNT3A
NRF2 pathway WP2884	4/146	0.021337619114419882	0.29031323918793894	0	0	3.966599597585513	15.260633613190299	SLC5A9;GSTM1;AGER;SOD3
Development and heterogeneity of the ILC family WP3893	2/32	0.022172878484655937	0.29031323918793894	0	0	9.307981220657277	35.4530340248081	IL33;GATA3
Oxidative Stress WP408	2/33	0.023493556928503728	0.29031323918793894	0	0	9.00726942298955	33.786529435062214	XDH;SOD3
