Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tryptophan metabolism	3/42	3.1324787387098936E-4	0.03351752250419586	0	0	25.51025641025641	205.82990567183495	IL4I1;KYNU;KMO
Glycolysis / Gluconeogenesis	3/67	0.0012359816413555224	0.06612501781252045	0	0	15.52578125	103.95891989482092	LDHC;ADH1A;ALDOB
Rheumatoid arthritis	3/93	0.003159209637296307	0.08974043578800701	0	0	11.026111111111112	63.48210035507129	ITGB2;HLA-DRA;ATP6V0D2
Staphylococcus aureus infection	3/95	0.003354782646280636	0.08974043578800701	0	0	10.785326086956522	61.447974906292494	ITGB2;PTAFR;HLA-DRA
Tyrosine metabolism	2/36	0.005742214421617738	0.12288338862261958	0	0	19.192864030858246	99.03345786086955	IL4I1;ADH1A
Lysosome	3/128	0.007688350530716525	0.13111134309123443	0	0	7.9248	38.57831482477987	PSAPL1;LAPTM5;ATP6V0D2
Pyruvate metabolism	2/47	0.00963661477963361	0.13111134309123443	0	0	14.493260473588343	67.28040211048973	LDHC;ADH1A
Cysteine and methionine metabolism	2/50	0.010854501389380216	0.13111134309123443	0	0	13.585382513661202	61.44906812714711	LDHC;IL4I1
Cell adhesion molecules	3/148	0.011405712864619041	0.13111134309123443	0	0	6.824827586206896	30.531827965894685	MPZ;ITGB2;HLA-DRA
Phagosome	3/152	0.012253396550582657	0.13111134309123443	0	0	6.640268456375839	29.230143749071637	ITGB2;HLA-DRA;ATP6V0D2
Legionellosis	2/57	0.013944036806181186	0.13563744893285334	0	0	11.852160953800299	50.64076758918169	HSPA1L;ITGB2
Viral myocarditis	2/60	0.01537127151559454	0.13706050434738465	0	0	11.237422272470322	46.919103504946925	ITGB2;HLA-DRA
Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	0.018753965791591908	0.146649496277728	0	0	64.29677419354839	255.6664806393233	IL4I1
Tuberculosis	3/180	0.019187784559702728	0.146649496277728	0	0	5.581920903954802	22.068020599956643	ITGB2;HLA-DRA;ATP6V0D2
Metabolism of xenobiotics by cytochrome P450	2/76	0.023968621919696273	0.1583250758953656	0	0	8.800620292423572	32.8351998888455	HSD11B1;ADH1A
Leishmaniasis	2/77	0.024558570389621535	0.1583250758953656	0	0	8.682841530054645	32.184639956490805	ITGB2;HLA-DRA
Antigen processing and presentation	2/78	0.025154451310478648	0.1583250758953656	0	0	8.56816220880069	31.5541458221579	HSPA1L;HLA-DRA
Lipid and atherosclerosis	3/215	0.030357672801644264	0.17914932155155547	0	0	4.652122641509434	16.25780082814197	HSPA1L;POU2F2;MMP9
Human T-cell leukemia virus 1 infection	3/219	0.03181156177083695	0.17914932155155547	0	0	4.5650462962962965	15.739939431309788	MMP7;ITGB2;HLA-DRA
HIF-1 signaling pathway	2/109	0.046348285919807594	0.24303744983485298	0	0	6.076298452581584	18.663781925248795	LDHC;ALDOB
Toxoplasmosis	2/112	0.04865604754056016	0.24303744983485298	0	0	5.909687034277198	17.864860811586965	HSPA1L;HLA-DRA
Leukocyte transendothelial migration	2/114	0.050217499463232416	0.24303744983485298	0	0	5.803571428571429	17.36075550708819	ITGB2;MMP9
Phenylalanine metabolism	1/17	0.05224169482431419	0.24303744983485298	0	0	20.081653225806452	59.278517093016504	IL4I1
