Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Activation of Matrix Metalloproteinases Homo sapiens R-HSA-1592389	3/32	1.384115902226272E-4	0.014770655815388846	0	0	34.324137931034485	304.9795341911713	MMP7;MMP8;MMP9
Collagen degradation Homo sapiens R-HSA-1442490	3/39	2.5105404353398323E-4	0.014770655815388846	0	0	27.64027777777778	229.13354471098393	MMP7;MMP8;MMP9
Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism Homo sapiens R-HSA-6788656	3/41	2.915261016195167E-4	0.014770655815388846	0	0	26.182894736842105	213.1387392007622	IL4I1;KYNU;KMO
Tryptophan catabolism Homo sapiens R-HSA-71240	2/11	5.273453296094256E-4	0.020039122525158173	0	0	72.59744990892531	547.9405021349086	KYNU;KMO
Interferon gamma signaling Homo sapiens R-HSA-877300	3/93	0.003159209637296307	0.09603997297380773	0	0	11.026111111111112	63.48210035507129	PTAFR;HLA-DRA;TRIM26
Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	3/106	0.004562650338549826	0.11558714190992891	0	0	9.628155339805826	51.89432855670723	MMP7;MMP8;MMP9
Extracellular matrix organization Homo sapiens R-HSA-1474244	4/283	0.012164146490402173	0.23463301632053893	0	0	4.776866533017436	21.062458310524747	MMP7;ITGB2;MMP8;MMP9
Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	2/54	0.012578132119592557	0.23463301632053893	0	0	12.53783102143758	54.862984800252825	MMP7;MMP9
Abacavir metabolism Homo sapiens R-HSA-2161541	1/5	0.01565251000400841	0.23463301632053893	0	0	80.375	334.1288407937727	ADH1A
Scavenging by Class B Receptors Homo sapiens R-HSA-3000471	1/5	0.01565251000400841	0.23463301632053893	0	0	80.375	334.1288407937727	SAA1
Fructose metabolism Homo sapiens R-HSA-5652084	1/6	0.018753965791591908	0.23463301632053893	0	0	64.29677419354839	255.6664806393233	ALDOB
Interferon Signaling Homo sapiens R-HSA-913531	3/196	0.023947722681417264	0.23463301632053893	0	0	5.1150259067357515	19.088673346259466	PTAFR;HLA-DRA;TRIM26
Formyl peptide receptors bind formyl peptides and many other ligands Homo sapiens R-HSA-444473	1/8	0.02492805820599394	0.23463301632053893	0	0	45.92165898617512	169.5318022982446	SAA1
Glucocorticoid biosynthesis Homo sapiens R-HSA-194002	1/9	0.028000752973758432	0.23463301632053893	0	0	40.17943548387097	143.66253094694912	HSD11B1
Highly calcium permeable nicotinic acetylcholine receptors Homo sapiens R-HSA-629597	1/9	0.028000752973758432	0.23463301632053893	0	0	40.17943548387097	143.66253094694912	CHRNA1
