Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Selenium Micronutrient Network WP15	5/89	8.93392836747945E-6	8.219214098081094E-4	0	0	20.374589490968802	236.86793500695956	KYNU;SAA4;SAA1;SAA2;KMO
Matrix Metalloproteinases WP129	3/30	1.1380645743939195E-4	0.00523509704221203	0	0	36.870370370370374	334.8202497519519	MMP7;MMP8;MMP9
NAD Biosynthesis II (from tryptophan) WP2485	2/8	2.7010736180115496E-4	0.008283292428568753	0	0	108.91256830601093	894.9009243287231	KYNU;KMO
Vitamin B12 metabolism WP1533	3/50	5.253081373346768E-4	0.012082087158697566	0	0	21.159574468085108	159.78706699627756	SAA4;SAA1;SAA2
Tryptophan catabolism leading to NAD+ production WP4210	2/16	0.0011389541194601021	0.020635123554795833	0	0	46.65807962529274	316.2318943313879	KYNU;KMO
Folate Metabolism WP176	3/69	0.0013457689274866847	0.020635123554795833	0	0	15.05378787878788	99.5174263967719	SAA4;SAA1;SAA2
Kynurenine Pathway and links to Cellular Senescence WP5044	2/23	0.0023674565400689813	0.029640711978307567	0	0	31.094457455113194	187.99519580896614	KYNU;KMO
IL1 and megakaryocytes in obesity WP2865	2/24	0.0025774532155050057	0.029640711978307567	0	0	29.679582712369598	176.91861225051053	MMP9;PLA2G7
Cell migration and invasion through p75NTR WP4561	2/30	0.004013249341598154	0.04102432660300335	0	0	23.31264637002342	128.64277412661008	MMP8;MMP9
Photodynamic therapy-induced NF-kB survival signaling WP3617	2/35	0.005434171613551458	0.04999437884467341	0	0	19.77545951316443	103.12997428192148	BCL2A1;MMP9
Neural Crest Cell Migration during Development WP4564	2/40	0.007052210585778927	0.05898212489924193	0	0	17.16911130284728	85.0628880339553	MMP8;MMP9
Neural Crest Cell Migration in Cancer WP4565	2/43	0.008115014693377984	0.06221511264923121	0	0	15.910435825669731	76.593462825792	MMP8;MMP9
Glycolysis and Gluconeogenesis WP534	2/45	0.008861045915904388	0.06270894032793875	0	0	15.168890583301563	71.68954925857352	LDHC;ALDOB
TYROBP causal network in microglia WP3945	2/61	0.015860430755203474	0.10422568781990854	0	0	11.046401778271742	45.775492559991775	ITGB2;PPP1R18
AGE/RAGE pathway WP2324	2/66	0.018404794347285078	0.11288273866334848	0	0	10.180840163934427	40.67392337099801	MMP7;MMP9
Pathways in clear cell renal cell carcinoma WP4018	2/85	0.029488227319513123	0.1587711406403204	0	0	7.842780959905195	27.636110533416407	LDHC;ALDOB
Acute viral myocarditis WP4298	2/86	0.030130074139429686	0.1587711406403204	0	0	7.749024199843872	27.138876377223244	ITGB2;MMP9
Mammary gland development pathway - Involution (Stage 4 of 4) WP2815	1/10	0.031063918820932256	0.1587711406403204	0	0	35.71326164874552	123.9860268803296	MMP9
